year,team_id,team_name,wins,losses,ties,total_games
2002,166,Cornell College,14,18,0,32
2002,420,Middlebury,12,17,0,29
2002,733,Utica,13,12,0,25
2002,587,Rutgers,22,25,0,47
2002,336,King's (PA),36,10,1,47
2002,26172,A&M-Corpus Chris,35,30,0,65
2002,477,NYIT,22,27,2,51
2002,81,Bryant,22,24,1,47
2002,1094,George Fox,9,17,0,26
2002,588,Rutgers-Camden,27,12,0,39
2002,1346,St. Mary's (TX),58,11,0,69
2002,589,Rutgers-Newark,5,27,0,32
2002,706,UTSA,33,29,0,62
2002,11276,S.C. Aiken,25,26,0,51
2002,83,Bucknell,12,32,0,44
2002,102,Sacramento St.,18,33,0,51
2002,248,George Mason,40,19,0,59
2002,84,Buena Vista,17,20,0,37
2002,590,Sacred Heart,17,30,0,47
2002,169,Creighton,28,28,0,56
2002,514,Oakland,26,38,1,65
2002,86,Buffalo,13,25,0,38
2002,614,St. Norbert,17,15,0,32
2002,85,Buffalo St.,19,17,0,36
2002,615,St. Olaf,10,23,0,33
2002,87,Butler,15,24,0,39
2002,77,BYU,30,23,0,53
2002,11036,Sage Colleges,18,20,0,38
2002,339,Kutztown,28,18,0,46
2002,88,Cabrini,37,8,0,45
2002,333,Ky. Wesleyan,8,23,0,31
2002,519,Ohio,29,24,0,53
2002,929,Adams St.,15,28,0,43
2002,340,La Salle,12,36,0,48
2002,517,Ohio Northern,21,17,0,38
2002,518,Ohio St.,55,14,0,69
2002,257,Georgia,59,17,0,76
2002,101,CSUN,27,24,0,51
2002,595,Saint Benedict,24,9,1,34
2002,520,Ohio Wesleyan,12,17,1,30
2002,1096,Georgia College,33,19,0,52
2002,423,Millersville,18,23,0,41
2002,600,Saint Francis (PA),28,24,1,53
2002,90,Cal Poly,25,29,0,54
2002,170,Curry,23,17,1,41
2002,735,Valparaiso,14,31,0,45
2002,254,Georgia St.,38,27,0,65
2002,620,St. Thomas (MN),33,9,0,42
2002,92,Cal St. Dom. Hills,32,22,0,54
2002,255,Georgia Tech,52,18,0,70
2002,98,Cal St. East Bay,18,20,0,38
2002,341,La Verne,37,6,1,44
2002,606,Saint Joseph's,32,17,0,49
2002,3,Adelphi,32,18,1,51
2002,97,Cal St. Fullerton,53,13,0,66
2002,674,Stanford,44,20,0,64
2002,671,La.-Lafayette,50,13,0,63
2002,4,Adrian,14,22,1,37
2002,11324,Agnes Scott,10,11,0,21
2002,498,La.-Monroe,20,32,0,52
2002,342,Lafayette,6,31,0,37
2002,5,Akron,30,17,0,47
2002,424,Millikin,16,21,0,37
2002,258,Gettysburg,23,13,0,36
2002,10,Ala.-Huntsville,42,19,0,61
2002,738,Vermont,6,38,0,44
2002,8,Alabama,46,21,0,67
2002,609,Saint Louis,24,27,0,51
2002,739,Villanova,45,15,0,60
2002,6,Alabama A&M,35,20,0,55
2002,1343,Saint Martin's,17,23,0,40
2002,612,Saint Mary's (MN),22,11,0,33
2002,746,Virginia,45,22,0,67
2002,7,Alabama St.,20,30,0,50
2002,1044,Dallas,17,14,0,31
2002,676,Stephen F. Austin,9,51,0,60
2002,426,Millsaps,17,16,0,33
2002,1099,Gordon,9,20,1,30
2002,344,Lake Forest,34,12,0,46
2002,522,Oklahoma,49,16,0,65
2002,617,Saint Peter's,30,21,0,51
2002,1347,Saint Rose,12,26,0,38
2002,103,Cal St. Stanislaus,30,35,0,65
2002,14,Albany (NY),30,20,0,50
2002,383,Minn. St. Mankato,20,28,0,48
2002,13,Albany St. (GA),3,7,1,11
2002,2798,Albertus Magnus,23,12,1,36
2002,2691,Daniel Webster,4,20,0,24
2002,742,Virginia Tech,42,18,0,60
2002,107,California,56,19,0,75
2002,15,Albion,26,10,0,36
2002,678,Stetson,45,14,0,59
2002,172,Dartmouth,26,19,0,45
2002,106,California (PA),34,7,0,41
2002,1164,Lakeland,26,28,2,56
2002,521,Oklahoma St.,29,23,0,52
2002,17,Alcorn,6,29,0,35
2002,934,Alderson Broaddus,20,16,0,36
2002,524,Old Westbury,1,22,0,23
2002,622,Salisbury,40,11,0,51
2002,261,Grambling,18,20,0,38
2002,433,Ole Miss,25,29,0,54
2002,21852,Stevenson,6,26,0,32
2002,623,Salve Regina,22,17,1,40
2002,748,Wagner,23,34,0,57
2002,18,Alfred,5,26,0,31
2002,624,Sam Houston St.,11,31,0,42
2002,625,Samford,20,32,0,52
2002,681,Stockton,13,24,0,37
2002,114,Calvin,20,17,0,37
2002,464,Omaha,89,10,0,99
2002,996,Cameron,10,30,0,40
2002,19,Allegheny,22,15,0,37
2002,627,San Diego,14,41,0,55
2002,115,Campbell,26,35,0,61
2002,428,Minnesota,38,21,0,59
2002,116,Canisius,33,16,0,49
2002,683,Stony Brook,25,27,0,52
2002,684,Suffolk,11,29,0,40
2002,750,Wartburg,27,10,0,37
2002,1167,Lander,31,31,0,62
2002,751,Wash. & Jeff.,8,19,0,27
2002,794,Green Bay,11,37,0,48
2002,175,Dayton,17,26,0,43
2002,21,Alma,28,11,0,39
2002,1050,Defiance,17,21,1,39
2002,529,Oregon,24,30,0,54
2002,626,San Diego St.,41,22,1,64
2002,938,Alvernia,36,23,0,59
2002,16142,Misericordia,26,17,0,43
2002,2814,Washburn,48,11,0,59
2002,180,Delaware,19,27,0,46
2002,168,SUNY Cortland,34,11,0,45
2002,528,Oregon St.,40,25,0,65
2002,178,Delaware St.,29,22,0,51
2002,118,Carleton,20,16,0,36
2002,429,Mississippi Col.,26,14,1,41
2002,179,Delaware Valley,11,25,0,36
2002,630,San Jose St.,25,44,0,69
2002,348,Lawrence,18,15,0,33
2002,247,SUNY Geneseo,36,5,0,41
2002,756,Washington,46,18,0,64
2002,181,Delta St.,42,17,0,59
2002,430,Mississippi St.,36,31,0,67
2002,22,American Int'l,30,23,0,53
2002,631,Santa Clara,25,38,0,63
2002,1029,Washington Adventist,11,11,0,22
2002,182,Denison,27,14,0,41
2002,24,Amherst,17,14,0,31
2002,264,Grinnell,14,16,1,31
2002,939,Anderson (IN),15,25,0,40
2002,265,Grove City,2,17,0,19
2002,753,Washington Col.,11,18,1,30
2002,349,Le Moyne,35,11,0,46
2002,13028,Anderson (SC),27,28,0,55
2002,39,GRU Augusta,35,18,0,53
2002,432,Mississippi Val.,2,33,0,35
2002,176,DePaul,50,11,0,61
2002,632,Savannah St.,0,27,0,27
2002,177,DePauw,12,24,1,37
2002,26,Anna Maria,21,15,1,37
2002,266,Gust. Adolphus,20,17,0,37
2002,20,DeSales,15,17,0,32
2002,434,Missouri,29,33,0,62
2002,27,Appalachian St.,11,45,0,56
2002,755,Washington-St. Louis,24,19,0,43
2002,12399,Gwynedd Mercy,20,12,0,32
2002,16006,SCAD,27,10,0,37
2002,184,Detroit,21,23,0,44
2002,435,Missouri S&T,13,33,0,46
2002,120,Carroll (WI),15,14,0,29
2002,475,SUNY New Paltz,1,39,0,40
2002,530,Oswego St.,12,23,0,35
2002,669,Missouri St.,23,28,0,51
2002,185,Dickinson,11,22,0,33
2002,526,SUNY Oneonta,24,15,1,40
2002,1000,Carson-Newman,41,10,0,51
2002,121,Carthage,22,12,0,34
2002,9500,SUNY Poly,6,26,0,32
2002,966,Arcadia,23,18,0,41
2002,268,Hamline,26,12,0,38
2002,29,Arizona,55,12,0,67
2002,122,Case,16,15,0,31
2002,552,SUNY Potsdam,4,18,0,22
2002,123,Castleton,10,8,0,18
2002,398,MIT,4,20,0,24
2002,531,Otterbein,25,13,0,38
2002,1001,Catawba,14,40,1,55
2002,685,Susquehanna,21,14,1,36
2002,124,Catholic,12,14,0,26
2002,28,Arizona St.,46,20,0,66
2002,352,Lehigh,36,16,0,52
2002,279,Lehman,12,18,0,30
2002,23624,Cazenovia,18,16,0,34
2002,23008,Ozarks (AR),20,18,0,38
2002,633,Scranton,14,20,0,34
2002,1356,Seattle,19,15,0,34
2002,270,Hampton,34,18,0,52
2002,688,Syracuse,25,21,0,46
2002,8411,Ark.-Monticello,37,16,0,53
2002,1434,Waynesburg,8,18,0,26
2002,14795,Cedar Crest,13,15,0,28
2002,2678,Ark.-Pine Bluff,1,32,0,33
2002,31,Arkansas,39,28,1,68
2002,635,Seton Hall,29,17,0,46
2002,272,Hartford,24,15,1,40
2002,689,Tampa,184,39,0,223
2002,273,Hartwick,8,27,0,35
2002,437,Molloy,14,23,1,38
2002,439,Monmouth,18,23,0,41
2002,1395,Tarleton St.,26,22,0,48
2002,33,Armstrong,40,7,0,47
2002,125,Centenary (LA),19,35,0,54
2002,438,Monmouth (IL),19,15,0,34
2002,759,Webster,32,7,0,39
2002,2692,Dowling,23,27,1,51
2002,275,Harvard,31,10,0,41
2002,12884,Centenary (NJ),11,18,0,29
2002,189,Drake,10,39,0,49
2002,126,Central (IA),36,5,0,41
2002,190,Drew,30,16,1,47
2002,725,Army,31,19,1,51
2002,191,Drexel,10,38,0,48
2002,354,Lewis,20,14,0,34
2002,533,Pace,33,17,0,50
2002,277,Hawaii,35,25,0,60
2002,534,Pacific,43,17,0,60
2002,192,Dubuque,6,32,0,38
2002,442,Montclair St.,27,10,1,38
2002,652,Sewanee,14,15,0,29
2002,22235,Lewis & Clark,11,25,1,37
2002,636,Shaw,19,19,0,38
2002,637,Shenandoah,4,29,0,33
2002,443,Moravian,34,8,0,42
2002,712,TCNJ,28,14,0,42
2002,10870,Shepherd,18,16,0,34
2002,2751,Pacific (OR),9,28,0,37
2002,444,Morehead St.,10,32,1,43
2002,762,Wentworth,5,20,1,26
2002,127,Central Conn. St.,11,35,1,47
2002,278,Heidelberg,2,30,0,32
2002,1297,Pacific Lutheran,36,2,0,38
2002,355,Liberty,28,35,0,63
2002,690,Temple,27,25,0,52
2002,694,Tennessee,35,25,1,61
2002,691,Tennessee St.,10,32,0,42
2002,692,Tennessee Tech,36,23,0,59
2002,196,East Carolina,38,26,0,64
2002,764,Wesleyan (CT),8,23,1,32
2002,446,Morgan St.,17,30,0,47
2002,8965,East Central,18,17,0,35
2002,197,East Stroudsburg,20,24,0,44
2002,129,Central Mich.,39,16,0,55
2002,356,Lincoln (MO),15,24,0,39
2002,198,East Tenn. St.,25,32,0,57
2002,130,Central Mo.,34,18,0,52
2002,1009,Central Okla.,35,16,0,51
2002,1123,Henderson St.,8,31,0,39
2002,1176,Lincoln Memorial,29,27,0,56
2002,1062,East Tex. Baptist,38,8,0,46
2002,1124,Hendrix,0,29,0,29
2002,8968,Eastern,9,17,0,26
2002,36,Assumption,17,29,0,46
2002,200,Eastern Conn. St.,19,18,0,37
2002,201,Eastern Ill.,20,24,0,44
2002,202,Eastern Ky.,37,14,0,51
2002,204,Eastern Mich.,18,28,0,46
2002,206,Eastern N.M.,28,23,0,51
2002,1064,Eastern Nazarene,2,26,0,28
2002,37,Auburn,38,27,0,65
2002,38,Augsburg,10,22,1,33
2002,40,Augustana (IL),27,15,0,42
2002,11740,West Florida,48,17,0,65
2002,1179,Linfield,21,17,0,38
2002,8398,Hilbert,5,14,0,19
2002,1438,West Liberty,25,14,0,39
2002,28600,Lipscomb,25,26,0,51
2002,448,Morris Brown,12,27,0,39
2002,1010,Central Wash.,17,26,0,43
2002,132,Centre,14,20,0,34
2002,361,LIU Brooklyn,29,24,0,53
2002,703,Texas,50,13,0,63
2002,42,Aurora,16,25,0,41
2002,697,Texas A&M,40,18,0,58
2002,208,Eckerd,107,39,0,146
2002,283,Hofstra,28,25,0,53
2002,1066,Edgewood,15,20,0,35
2002,1400,Texas Lutheran,16,22,0,38
2002,362,LIU Post,39,16,0,55
2002,209,Edinboro,7,24,0,31
2002,699,Texas Southern,19,17,0,36
2002,449,Mount Holyoke,13,17,0,30
2002,43,Austin Peay,19,35,1,55
2002,285,Holy Cross,14,35,0,49
2002,670,Texas St.,37,22,0,59
2002,359,Livingstone,0,22,0,22
2002,540,Penn,14,33,0,47
2002,700,Texas Tech,13,40,0,53
2002,210,Elizabeth City St.,21,11,0,32
2002,360,Lock Haven,37,15,0,52
2002,1439,West Virginia St.,23,15,0,38
2002,99,Long Beach St.,35,23,0,58
2002,701,Texas Woman's,43,15,0,58
2002,639,Siena,12,26,0,38
2002,363,Longwood,37,14,0,51
2002,212,Elmhurst,9,26,0,35
2002,1245,Mount Olive,18,34,0,52
2002,364,Loras,14,22,0,36
2002,702,Texas-Arlington,16,30,0,46
2002,539,Penn St.,34,26,0,60
2002,134,Chapman,16,24,0,40
2002,532,Elms,18,16,0,34
2002,770,Western Conn. St.,34,9,1,44
2002,1068,Elon,16,39,0,55
2002,214,Emerson,21,9,0,30
2002,366,Louisiana Tech,21,27,0,48
2002,771,Western Ill.,26,21,0,47
2002,48,Charleston So.,18,38,0,56
2002,367,Louisville,27,28,0,55
2002,772,Western Ky.,37,22,0,59
2002,20220,MSOE,23,14,0,37
2002,215,Emmanuel (MA),14,21,1,36
2002,458,Charlotte,24,27,0,51
2002,45,Babson,25,14,0,39
2002,217,Emory,43,10,0,53
2002,774,Western Mich.,22,24,0,46
2002,286,Hope,22,17,0,39
2002,371,Loyola Chicago,24,24,0,48
2002,641,Simpson,27,11,0,38
2002,8567,Mt. St. Joseph,28,19,0,47
2002,1468,Mt. St. Mary (NY),10,15,0,25
2002,450,Mt. St. Mary's,8,31,0,39
2002,693,Chattanooga,44,15,0,59
2002,370,Loyola Marymount,38,34,0,72
2002,709,Toledo,13,36,1,50
2002,1071,Emporia St.,19,25,0,44
2002,288,Houston,35,25,0,60
2002,365,LSU,56,11,0,67
2002,137,Chicago,17,19,0,36
2002,8981,Endicott,40,5,1,46
2002,538,Penn St.-Behrend,10,27,0,37
2002,711,Towson,36,24,0,60
2002,660,SIUE,51,12,0,63
2002,453,Muhlenberg,21,15,0,36
2002,642,Skidmore,12,20,0,32
2002,218,Eureka,21,15,0,36
2002,372,Luther,19,17,0,36
2002,95,Chico St.,36,27,0,63
2002,373,Lycoming,17,17,0,34
2002,219,Evansville,34,27,0,61
2002,374,Lynchburg,27,17,0,44
2002,290,Howard,3,32,0,35
2002,775,Western New Eng.,34,9,1,44
2002,2741,Howard Payne,24,17,0,41
2002,1446,Western Ore.,17,25,0,42
2002,220,Fairfield,32,27,2,61
2002,46,Baldwin Wallace,22,15,0,37
2002,291,Humboldt St.,40,17,0,57
2002,222,Fairleigh Dickinson,8,25,0,33
2002,47,Ball St.,23,22,0,45
2002,292,Hunter,25,13,0,38
2002,431,MUW,21,20,0,41
2002,1076,Fairmont St.,25,12,0,37
2002,488,N.C. A&T,15,41,0,56
2002,489,N.C. Central,9,27,0,36
2002,491,N.C. Wesleyan,19,20,0,39
2002,20794,Lynn,31,24,0,55
2002,223,Fayetteville St.,16,17,0,33
2002,8577,N.M. Highlands,29,19,0,48
2002,376,Macalester,2,32,0,34
2002,1448,Western Wash.,27,15,0,42
2002,221,FDU-Florham,14,24,0,38
2002,777,Westfield St.,21,17,1,39
2002,543,Philadelphia U.,14,30,0,44
2002,645,Sonoma St.,21,31,0,52
2002,713,Trinity (CT),7,22,0,29
2002,1450,Westminster (MO),12,13,0,25
2002,1451,Westminster (PA),17,12,0,29
2002,380,Maine,26,31,0,57
2002,648,South Carolina,46,20,0,66
2002,715,Trinity (TX),27,16,0,43
2002,378,Maine Maritime,10,12,0,22
2002,647,South Carolina St.,19,23,0,42
