name,year,class,team,framing
"Baird, Jackie",2014,Sr,East Tenn. St.,-0.033
"Baker, Ashley",2014,So,Green Bay,0.083
"Baker, Ashley",2015,Jr,Green Bay,0.083
"Baldwin, Amber",2014,Fr,Oakland,0.080
"Ballard, Lexie",2014,Jr,Jacksonville,-0.051
"Ballard, Lexie",2015,Sr,Jacksonville,-0.051
"Baltzell, Megan",2014,Jr,Longwood,0.011
"Baltzell, Megan",2015,Sr,Longwood,0.011
"Barbee, Walker",2017,Fr,Elon,-0.041
"Barber, Caitie",2014,So,Towson,-0.074
"Barber, Caitie",2015,Jr,Towson,-0.074
"Barber, Caitie",2016,Sr,Towson,-0.074
"Barnard, Kelsie",2016,Fr,Santa Clara,-0.053
"Barnard, Kelsie",2017,So,Santa Clara,-0.053
"Barnes, Alex",2014,So,Virginia Tech,0.024
"Barre, Amye",2014,So,La.-Monroe,-0.078
"Barre, Amye",2015,Jr,La.-Monroe,-0.078
"Barre, Amye",2016,Sr,La.-Monroe,-0.078
"Barrios, Kori",2015,So,Utah Valley,-0.072
"Barrios, Kori",2016,Jr,Utah Valley,-0.072
"Barrow, Hayley",2014,Jr,Buffalo,-0.041
"Barrow, Hayley",2015,Sr,Buffalo,-0.041
"Bartko, Mckenna",2014,Sr,Morehead St.,-0.082
"Basham, Bailiegh",2014,Sr,Bradley,-0.036
"Batten, Kaylynn",2016,Fr,Longwood,0.113
"Batten, Kaylynn",2017,So,Longwood,0.113
"Bava, Krista",2014,Jr,UC Davis,-0.008
"Bava, Krista",2015,Sr,UC Davis,-0.008
"Beck, Jordan",2015,Fr,Southern Miss.,0.012
"Beck, Jordan",2016,So,Southern Miss.,0.012
"Beckstrom, Hayley",2014,So,Seattle,0.025
"Beckstrom, Hayley",2015,Jr,Seattle,0.025
"Beckstrom, Hayley",2016,Sr,Seattle U,0.025
"Belfiore, Taylor",2017,Fr,Col. of Charleston,-0.010
"Bell, Chaunsey",2014,Jr,Alabama,0.002
"Bell, Chaunsey",2015,Sr,Alabama,0.002
"Bell, Mickey",2014,So,Fla. Atlantic,0.122
"Bell, Mickey",2015,Jr,Fla. Atlantic,0.122
"Bell, Mickey",2016,Sr,Fla. Atlantic,0.122
"Belshe, Kristi",2014,Jr,Texas Tech,-0.127
"Belshe, Kristi",2015,Sr,Texas Tech,-0.127
"Beltran, Amanda",2016,Fr,Chattanooga,-0.069
"Beltran, Amanda",2017,So,Chattanooga,-0.069
"Bergman, Kaitlyn",2015,Fr,Toledo,-0.026
"Bergman, Kaitlyn",2016,So,Toledo,-0.026
"Bergman, Kaitlyn",2017,Jr,Toledo,-0.026
"Bernard, Breezy",2014,Jr,Santa Clara,-0.052
"Bernard, Breezy",2015,Sr,Santa Clara,-0.052
"Berouty, Melissa",2014,So,Bethune-Cookman,0.151
"Berouty, Melissa",2015,Jr,Bethune-Cookman,0.151
"Berouty, Melissa",2016,Sr,Bethune-Cookman,0.151
"Berry, Taylor",2014,Fr,Wisconsin,0.026
"Berry, Taylor",2015,So,Wisconsin,0.026
"Berry, Taylor",2016,Jr,Wisconsin,0.026
"Berry, Taylor",2017,Sr,Wisconsin,0.026
"Besson, Lindsey",2014,Fr,Michigan St.,0.108
"Besson, Lindsey",2015,So,Michigan St.,0.108
"Besson, Lindsey",2016,Jr,Michigan St.,0.108
"Besson, Lindsey",2017,Sr,Michigan St.,0.108
"Best, Ashley",2014,Fr,Appalachian St.,-0.083
"Best, Ashley",2016,So,UNCW,-0.012
"Best, Ashley",2017,Jr,UNCW,-0.012
"Biagini, C",2014,Fr,Santa Clara,0.071
"Biagini, Chiara",2015,Jr,Santa Clara,0.071
"Biagini, Chiara",2016,Sr,Santa Clara,0.071
"Binckes, Alexa",2017,Fr,Purdue,0.044
"Bindus, TJ",2015,Fr,Oakland,0.080
"Bingham, Sammy",2014,Sr,South Dakota St.,0.003
"Bird, Claire",2015,Fr,Dartmouth,0.047
"Bird, Claire",2016,So,Dartmouth,0.047
"Bird, Claire",2017,Jr,Dartmouth,0.047
"Bishop, Autumn",2017,Fr,Liberty,0.015
"Bishop, Emily",2015,Jr,Kennesaw St.,-0.072
"Bishop, Emily",2016,Sr,Kennesaw St.,-0.072
"Bismark, Jade",2016,Fr,Texas Southern,-0.049
"Bismark, Jade",2017,So,Texas Southern,-0.049
"Bjorson, Bailey",2014,Fr,Campbell,-0.068
"Bjorson, Bailey",2015,So,Campbell,-0.068
"Bjorson, Bailey",2016,Jr,Campbell,-0.068
"Bjorson, Bailey",2017,Sr,Campbell,-0.068
"Black, Olivia",2014,Fr,UAB,0.033
"Black, Olivia",2015,So,UAB,0.033
"Black, Olivia",2016,So,UAB,0.033
"Black, Olivia",2017,Sr,UAB,-0.022
"Blackwell, Mandy",2014,Fr,Georgia St.,-0.093
"Blackwell, Mandy",2015,So,Georgia St.,-0.093
"Blackwell, Mandy",2016,Jr,Georgia St.,-0.093
"Blackwell, Mandy",2017,Sr,Georgia St.,-0.093
"Blanchard, Caitlin",2014,Sr,Michigan,0.003
"Blanchard, Raquel",2017,Fr,Brown,0.048
"Blasingame, Alexis",2017,Fr,Florida A&M,0.021
"Bobos, H.",2017,Fr,Morgan St.,0.042
"Boeckstigel, Stacia",2014,Sr,Missouri St.,0.120
"Bohan, Erin",2016,Jr,Niagara,0.014
"Bohan, Erin",2017,Sr,Niagara,0.014
"Bolden, Tia",2014,Fr,Savannah St.,-0.005
"Bolden, Tia",2015,So,Savannah St.,-0.005
"Bolden, Tia",2016,Jr,Savannah St.,-0.005
"Bolden, Tia",2017,Sr,Savannah St.,-0.005
"Bolyard, Taylor",2016,So,Fort Wayne,-0.006
"Bolyard, Taylor",2017,So,Fort Wayne,-0.006
"Bomhardt, Eliza",2017,Fr,Hartford,0.065
"Bonezek, Staci",2014,Jr,DePaul,0.031
"Bonezek, Staci",2015,Sr,DePaul,0.031
"Bonstrom, Kayla",2014,So,Stanford,-0.106
"Bonstrom, Kayla",2015,Jr,Stanford,-0.106
"Bonstrom, Kayla",2016,Sr,Stanford,-0.106
"Boone, Jordan",2014,So,Morehead St.,-0.004
"Boone, Jordan",2015,Jr,Morehead St.,-0.004
"Boone, Jordan",2016,Sr,Morehead St.,-0.004
"Booty, Joanna",2014,Fr,Southeastern La.,-0.063
"Booty, Joanna",2015,So,Southeastern La.,-0.063
"Booty, Joanna",2016,Jr,Southeastern La.,-0.063
"Borries, Anni",2017,N/A,Illinois St.,-0.015
"Bostic, Bailee",2016,Fr,Evansville,-0.055
"Bostic, Bailee",2017,So,Evansville,-0.055
"Bosworth, Kaylee",2016,Fr,Iowa St.,-0.049
"Bosworth, Kaylee",2017,So,Iowa St.,-0.049
"Bott, Brenda",2014,Fr,Wagner,0.094
"Bott, Brenda",2015,Jr,Wagner,0.094
"Bott, Brenda",2016,Sr,Wagner,0.094
"Bouchard, Janelle",2015,Jr,Maine,0.001
"Bouchard, Janelle",2016,Sr,Maine,0.001
"Bouchard, Janelle",2014,So,Valparaiso,-0.119
"Bounds, Emily",2016,Fr,Sam Houston St.,0.021
"Bounds, Emily",2017,So,Sam Houston St.,0.021
"Bourgeois, Brennan",2017,Fr,Southeastern La.,-0.035
"Bowen, Clara",2015,Jr,Samford,0.018
"Bowen, Clara",2016,Sr,Samford,0.018
"Bowen, Clara",2014,So,South Ala.,-0.024
"Bowman, Elena",2014,So,Manhattan,0.051
"Bowman, Elena",2015,Jr,Manhattan,0.051
"Bowman, Elena",2016,Sr,Manhattan,0.051
"Boyd,",2017,Fr,UNCG,-0.032
"Boyd, Lacey",2017,Fr,A&M-Corpus Chris,-0.043
"Boyer, Karli",2014,So,Drexel,-0.095
"Braun, Dani",2014,So,Washington,-0.108
"Braun, Dani",2015,Jr,Washington,-0.108
"Braun, Dani",2016,Sr,Washington,-0.108
"Breeden, Alex",2014,Jr,South Ala.,0.031
"Breeden, Alex",2015,Sr,South Ala.,0.031
"Breeden, Alex",2016,Sr,South Ala.,0.031
"Breeden, Allysen",2014,Jr,Rider,-0.080
"Breeden, Allysen",2015,Sr,Rider,-0.080
"Breitbach, Kaylyn",2016,Fr,Saint Louis,0.006
"Breitbach, Kaylyn",2017,So,Saint Louis,0.006
"Brenneis, Lexie",2015,Fr,Montana,0.043
"Brenneis, Lexie",2016,So,Montana,0.043
"Bretz, Victoria",2015,Fr,Niagara,-0.035
"Bretz, Victoria",2016,Sr,Niagara,-0.035
"Brewer, Cassady",2016,Fr,UCF,0.023
"Brewer, Cassady",2017,So,UCF,0.023
"Briggs, Queen",2015,So,Jackson St.,-0.119
"Briggs, Queen",2016,Jr,Jackson St.,-0.119
"Briggs, Queen",2017,Sr,Jackson St.,-0.119
"Broderick, Sydney",2014,Fr,BYU,-0.089
"Broderick, Sydney",2015,So,BYU,-0.089
"Broderick, Sydney",2016,Jr,Florida St.,0.066
"Broderick, Sydney",2017,Sr,Florida St.,0.066
"Brodner, Emily",2015,Fr,Illinois,-0.056
"Brodner, Emily",2016,Fr,Illinois,-0.056
"Brodner, Emily",2017,So,Illinois,-0.056
"Brooks, Courtenay",2014,Fr,Mississippi Val.,-0.158
"Brooks, Lauren",2017,Fr,Central Ark.,0.072
"Broome, Abby",2017,Fr,Ga. Southern,0.041
"Browne, Katie",2014,So,Georgia,-0.030
"Browne, Katie",2015,Jr,Georgia,-0.030
"Browne, Katie",2016,Sr,Georgia,-0.030
"Brown, Erin",2014,So,UNCW,0.018
"Brown, Erin",2015,Jr,UNCW,0.018
"Brown, Erin",2016,Sr,UNCW,0.018
"Brown, Mylee",2015,Sr,Weber St.,-0.004
"Brunson, Alex",2015,Fr,North Florida,0.014
"Brunson, Alex",2016,So,North Florida,0.014
"Buchanan, Lauren",2016,Fr,Colorado St.,0.035
"Buchanan, Lauren",2017,So,Colorado St.,0.035
"Buckel, Holly",2014,Jr,Mt. St. Mary's,-0.017
"Buckel, Holly",2015,Sr,Mt. St. Mary's,-0.017
"Budicin, Kailee",2015,Fr,Dayton,0.014
"Budicin, Kailee",2016,So,Dayton,0.014
"Budicin, Kailee",2017,Jr,Dayton,0.014
"Bullock, Allie",2017,Fr,Saint Mary's (CA),-0.016
"Burda, Haley",2017,Fr,Nevada,-0.070
"Burgess, Anndrea",2014,Jr,St. Bonaventure,-0.056
"Burgess, Anndrea",2015,Sr,St. Bonaventure,-0.056
"Burgess, Chelsea",2014,Sr,Tennessee Tech,-0.130
"Burgess, Lindsey",2014,So,Tennessee St.,-0.053
"Burgess, Lindsey",2015,Jr,Tennessee St.,-0.053
"Burgess, Lindsey",2016,Sr,Tennessee St.,-0.053
"Burner, Erin",2014,Jr,St. John's (NY),-0.095
"Burner, Erin",2015,Sr,St. John's (NY),-0.095
"Burrough, Corey",2017,Fr,Penn,-0.033
"Burr, Sydney",2017,Fr,Holy Cross,0.016
"Burt, Cianna",2014,So,South Carolina St.,-0.038
"Burt, Cianna",2015,Jr,South Carolina St.,-0.038
"Burt, Cianna",2016,Sr,South Carolina St.,-0.038
"Bush, Alexis",2014,Fr,Saint Joseph's,-0.041
"Bush, Alexis",2015,So,Saint Joseph's,-0.041
"Bush, Alexis",2016,Jr,Saint Joseph's,-0.041
"Bush, Alexis",2017,Sr,Saint Joseph's,-0.041
"Bustillos, Shannon",2014,Jr,Maryland,-0.010
"Bustillos, Shannon",2015,Sr,Maryland,-0.010
"Butera, Ashley",2014,Jr,Nevada,-0.086
"Butera, Ashley",2015,Sr,Nevada,-0.086
"Butler, Morgan",2014,Jr,Grambling,0.017
"Butler, Morgan",2015,Sr,Grambling,0.017
"Butler, Nikki",2017,Fr,New Mexico St.,0.053
"Buttacavoli, Brina",2015,Fr,Utah St.,0.007
"Buttacavoli, Brina",2016,So,Utah St.,-0.043
"Buttacavoli, Brina",2017,Jr,Utah St.,-0.043
"Butts, Shannon",2014,Sr,Green Bay,-0.051
"Byrne, Taylar",2015,Fr,Charlotte,-0.112
"Byrne, Taylar",2016,So,Charlotte,-0.112
"Byrne, Taylar",2017,Jr,Charlotte,-0.112
"Caggiano, Liz",2014,Jr,Columbia,-0.036
"Caggiano, Liz",2015,Sr,Columbia,-0.036
"Cahill, Holiday",2014,Fr,Towson,0.018
"Cahill, Holiday",2015,So,Towson,0.018
"Cahill, Holiday",2016,Jr,Towson,0.018
"Cahill, Holiday",2017,Sr,Towson,0.018
"Cameron, Heather",2016,Fr,Hawaii,0.044
"Cameron, Heather",2017,So,Hawaii,0.044
"Cantu, Devin",2017,Fr,Iowa,0.025
"Capitini, Geena",2015,N/A,Bethune-Cookman,-0.046
"Capitini, Geena",2016,Fr,Bethune-Cookman,-0.046
"Carassco, K",2017,Fr,Michigan St.,-0.023
"Cardon, Bernadette",2014,So,Army West Point,-0.016
"Cardon, Bernadette",2015,Jr,Army West Point,-0.016
"Cardon, Bernadette",2016,Sr,Army West Point,-0.016
"Cargill, Lindsey",2014,Fr,Baylor,0.050
"Cargill, Lindsey",2015,So,Baylor,0.050
"Cargill, Lindsey",2016,Jr,Baylor,0.050
"Cargill, Lindsey",2017,Sr,Baylor,0.050
"Carlucci, Jessica",2016,Fr,Wagner,-0.039
"Carlucci, Jessica",2017,So,Wagner,-0.039
"Carmona, Marina",2014,Fr,FIU,0.080
"Carney, Alexis",2014,Fr,UC Davis,0.036
"Carney, Alexis",2015,So,UC Davis,0.036
"Carney, Alexis",2016,Jr,UC Davis,0.036
"Carney, Alexis",2017,Sr,UC Davis,0.036
"Carrasco, Marisa",2016,Fr,UMass Lowell,-0.016
"Carrasco, Marisa",2017,So,UMass Lowell,-0.016
"Carroll, C.",2014,N/A,Nicholls St.,-0.019
"Carroll, Caitlyn",2015,So,Nicholls St.,-0.019
"Carroll, Caitlyn",2016,Jr,Nicholls St.,-0.019
"Carroll, Caitlyn",2017,Sr,Nicholls St.,-0.019
"Carter, Ashley",2014,Jr,Bakersfield,0.040
"Carter, Ashley",2015,Sr,Bakersfield,0.040
"Carter, Riley",2014,So,Butler,-0.053
"Carter, Riley",2015,Jr,Butler,-0.053
"Carter, Riley",2016,Sr,Butler,-0.053
"Casale, Cierra",2017,Fr,Sacred Heart,0.013
"Casey, Jordan",2017,Fr,Delaware St.,-0.053
"Casiano, Madison",2017,Fr,San Diego,-0.016
"Cassidy, Bri",2016,Fr,Nebraska,0.017
"Cassidy, Bri",2017,So,Nebraska,0.017
"Castillo, Tiffany",2014,So,Sam Houston St.,-0.075
"Castillo, Tiffany",2015,Jr,Sam Houston St.,-0.075
"Castillo, Tiffany",2016,Sr,Sam Houston St.,-0.075
"Castle, Kasandra",2015,Fr,FGCU,0.115
"Castle, Kasandra",2017,Jr,FIU,0.061
"Cavin, Miranda",2014,Fr,Oklahoma St.,-0.093
"Cavin, Miranda",2015,So,Oklahoma St.,-0.093
"Cavin, Miranda",2016,Jr,Oklahoma St.,-0.093
"Cavin, Miranda",2017,Sr,Oklahoma St.,-0.093
"Cenal, Kalyn",2014,So,UCF,-0.005
"Cenal, Kalyn",2015,Jr,UCF,-0.005
"Cenal, Kalyn",2016,Sr,UCF,-0.005
"Cervantes, R.",2016,N/A,Fairleigh Dickinson,-0.023
"Cervantes, Renna",2017,So,Fairleigh Dickinson,-0.023
"Cervantez, Autumn",2014,Fr,North Dakota,-0.044
"Cervantez, Autumn",2015,So,North Dakota,-0.044
"Cervantez, Autumn",2016,Jr,North Dakota,-0.044
"Cervantez, Autumn",2017,Sr,North Dakota,-0.044
"Chaffee, Taylor",2014,So,Binghamton,-0.012
"Chaffee, Taylor",2015,Jr,Binghamton,-0.012
"Chaffee, Taylor",2016,Sr,Binghamton,-0.012
"Chambers, Ashlie",2014,Fr,Drake,0.142
"Chambers, Ashlie",2015,So,Drake,0.142
"Chambers, Ashlie",2016,Jr,Drake,0.142
"Chambers, Ashlie",2017,Sr,Drake,0.142
"Chamblee, Nella",2014,Fr,UNCW,-0.046
"Chamblee, Nella",2015,So,UNCW,-0.046
"Chamblee, Nella",2016,Jr,UNCW,-0.046
"Chamblee, Nella",2017,Sr,UNCW,-0.046
"Chan, Kimberly",2014,Fr,Drexel,0.030
"Chan, Kimberly",2015,So,Drexel,0.030
"Chan, Kimberly",2016,Jr,Drexel,0.030
"Chan, Kimberly",2017,Sr,Drexel,0.030
"Chasier, Stephanie",2014,Fr,Saint Joseph's,0.018
"Chasier, Stephanie",2015,So,Saint Joseph's,0.018
"Chastain, Heather",2014,Jr,Western Caro.,-0.043
"Chastain, Heather",2015,Sr,Western Caro.,-0.043
"Chaulklin, Alyssa",2014,Jr,Colgate,0.041
"Chaulklin, Alyssa",2015,Sr,Colgate,0.041
"Chaw, Karen",2014,Fr,Dartmouth,-0.068
"Chaw, Karen",2015,So,Dartmouth,-0.068
"Chaw, Karen",2016,Jr,Dartmouth,-0.068
"Chaw, Karen",2017,Sr,Dartmouth,-0.068
"Cheatham, Macey",2014,So,Florida St.,-0.111
"Cheatham, Macey",2015,Jr,Florida St.,-0.111
"Cheatham, Macey",2016,Sr,Florida St.,-0.111
"Chernak, Kelsey",2014,N/A,East Tenn. St.,0.033
"Chernak, Kelsey",2015,Fr,East Tenn. St.,0.033
"Chernak, Kelsey",2016,Jr,ETSU,0.033
"Chernak, Kelsey",2017,Jr,ETSU,0.033
"Chew, Hannah",2017,Fr,Saint Mary's (CA),-0.022
"Chimento, Jordan",2015,Fr,Boston College,0.064
"Chimento, Jordan",2016,So,Boston College,0.064
"Chimento, Jordan",2017,Jr,Boston College,0.064
"Christensen, Sydney",2015,Fr,Baylor,0.025
"Christensen, Sydney",2016,So,Baylor,0.025
"Christensen, Sydney",2017,Jr,Baylor,0.025
"Christian, Marci",2015,Sr,Charleston So.,-0.019
"Christopher, Caitlin",2014,Jr,UMKC,-0.062
"Christopher, Caitlin",2015,Sr,UMKC,-0.062
"Clark, Allyne",2015,Jr,Iona,-0.052
"Clark, Allyne",2016,Sr,Iona,-0.052
"Clarke, Jordan",2014,Sr,Campbell,-0.082
"Clark, Emily",2016,Fr,Ohio St.,0.061
"Clark, Emily",2017,So,Ohio St.,0.061
"Clay, Mariah",2015,Fr,A&M-Corpus Chris,-0.009
"Clay, Mariah",2016,So,A&M-Corpus Chris,-0.009
"Clay, Mariah",2017,Jr,A&M-Corpus Chris,-0.009
"Clayson, Ashley",2014,Fr,Southern Utah,0.006
"Clayson, Ashley",2015,So,Southern Utah,0.006
"Clayson, Ashley",2016,Jr,Southern Utah,0.006
"Clayton, Blair",2017,Fr,Abilene Christian,0.001
"Claytor, Madison",2014,Fr,Ohio,0.069
"Claytor, Madison",2015,So,Ohio,0.069
"Claytor, Madison",2016,Jr,Ohio,0.069
"Claytor, Madison",2017,Sr,Ohio,0.069
"Clowdus, Nicole",2014,So,Loyola Marymount,-0.041
"Clowdus, Nicole",2015,Jr,Loyola Marymount,-0.041
"Clowdus, Nicole",2016,Sr,Loyola Marymount,-0.041
"Cochiolo, Mariah",2014,Sr,Cal Poly,0.004
"Cochran, Phalen",2014,Fr,UC Davis,-0.061
"Cochran, Phalen",2015,So,UC Davis,-0.061
"Coffey, Caitlyn",2014,Jr,Georgia Tech,-0.034
"Coffey, Caitlyn",2015,Sr,Georgia Tech,-0.034
"Coil, Braxton",2014,So,Missouri St.,0.020
"Coil, Braxton",2015,Jr,Missouri St.,0.020
"Coil, Braxton",2016,Sr,Missouri St.,0.020
"Coldiron, Adeline",2014,Fr,Northern Colo.,0.051
"Coldiron, Adeline",2015,So,Northern Colo.,0.051
"Coldiron, Adeline",2016,Jr,Northern Colo.,0.051
"Coldiron, Adeline",2017,Sr,Northern Colo.,0.051
"Colegrove, Emma",2016,Fr,Tennessee St.,-0.001
"Colegrove, Emma",2017,So,Tennessee St.,-0.001
"Cole, Hannah",2014,Jr,Eastern Ill.,0.003
"Cole, Hannah",2015,Sr,Eastern Ill.,0.003
"Colenzo, Sydney",2014,Fr,Cal St. Fullerton,-0.042
"Colenzo, Sydney",2015,So,Cal St. Fullerton,-0.042
"Colenzo, Sydney",2016,Jr,Cal St. Fullerton,-0.042
"Colenzo, Sydney",2017,Sr,Cal St. Fullerton,-0.042
"Collins, Taylor",2014,So,Furman,-0.049
"Collins, Taylor",2015,Jr,Furman,-0.049
"Collins, Taylor",2016,Sr,Furman,-0.049
"Colombo, Maddie",2017,Fr,Manhattan,0.009
"Colon, Alex",2017,Fr,Princeton,-0.003
"Comeaux, Lexie",2016,Fr,Louisiana,0.039
"Comeaux, Lexie",2017,So,Louisiana,0.039
"Conchas, Daisy",2015,Fr,San Jose St.,-0.049
"Conchas, Daisy",2016,So,San Jose St.,-0.049
"Conchas, Daisy",2017,Jr,San Jose St.,-0.049
"Cone, Jenna",2017,Fr,George Washington,-0.041
"Conley, Stacey",2014,Sr,McNeese St.,-0.004
"Connors, Bridget",2014,Fr,Siena,0.007
"Connors, Bridget",2015,So,Siena,0.007
"Connors, Kaitlin",2014,Jr,San Diego St.,0.051
"Connors, Kaitlin",2015,Sr,San Diego St.,0.051
"Cook, Macy",2016,Fr,Wright St.,0.155
"Cook, Macy",2017,So,Wright St.,0.155
"Coonrod, Rachel",2014,Sr,SIUE,-0.049
"Cooper, Hannah",2014,So,Central Conn. St.,0.029
"Cooper, Hannah",2015,Jr,Central Conn. St.,0.029
"Cooper, Hannah",2016,Sr,Central Conn. St.,0.029
"Corder, Kendall",2014,Sr,Bryant,0.042
"Corlew, Erica",2017,Fr,Stetson,-0.029
"Corry, Beverly",2014,Jr,Lamar,-0.049
"Cortez, Tatiana",2014,Fr,Boston College,0.039
"Cortez, Tatiana",2015,So,Boston College,0.039
"Cortez, Tatiana",2016,Jr,Boston College,0.039
"Cortez, Tatiana",2017,Sr,Boston College,0.039
"Cosentino, Chelsy",2014,Sr,Saint Francis (PA),-0.071
"Cothern, Jessica",2017,Fr,DePaul,0.067
"Cothron, Rena'",2014,Sr,Lipscomb,0.044
"Cottle, Jennifer",2015,N/A,Detroit,-0.032
"Cottle, Jennifer",2016,Sr,Detroit Mercy,-0.032
"Courtney, Lexi",2017,Jr,Quinnipiac,-0.043
"Craft, Jessica",2014,Jr,Ball St.,0.036
"Craft, Jessica",2015,Sr,Ball St.,0.036
"Crawford, Randee",2014,Fr,UTSA,-0.008
"Crawford, Randee",2015,So,UTSA,-0.008
"Crawford, Randee",2016,Jr,UTSA,-0.008
"Crawford, Randee",2017,Sr,UTSA,-0.008
"Crews, Blake",2017,Fr,Stetson,0.048
"Crews, Chelsea",2014,Jr,Saint Peter's,-0.121
"Crews, Chelsea",2015,Sr,Saint Peter's,-0.121
"Crosby, Megan",2017,Fr,Sam Houston St.,0.088
