name,year,class,team,framing
",",2014,Fr,UC Santa Barbara,-0.027
"Abello, Stephanie",2016,Fr,Illinois,0.033
"Abello, Stephanie",2017,So,Illinois,0.033
"Adams, Calyn",2015,Fr,Mississippi St.,0.024
"Adams, Calyn",2016,So,Mississippi St.,0.024
"Adams, Calyn",2017,Jr,Mississippi St.,0.024
"Adams, Elizabeth",2014,So,Rutgers,0.157
"Adams, Elizabeth",2015,Jr,Rutgers,0.157
"Adams, Elizabeth",2016,Sr,Rutgers,0.157
"Adams, Elizabeth",2017,Sr,Rutgers,0.157
"Adkins, Holly",2014,Fr,Samford,-0.015
"Adkinson, Spencer",2014,Jr,Southeastern La.,-0.050
"Adkinson, Spencer",2015,Sr,Southeastern La.,-0.050
"Africano, Casey",2014,So,Notre Dame,0.029
"Africano, Casey",2015,Jr,Notre Dame,0.029
"Africano, Casey",2016,Sr,Notre Dame,0.029
"Agamaite, Samantha",2015,Fr,La.-Monroe,0.040
"Agamaite, Samantha",2016,So,La.-Monroe,0.040
"Agamaite, Samantha",2017,Jr,La.-Monroe,0.040
"Aguirre, Katee",2014,So,Arizona St.,-0.027
"Aguirre, Katee",2015,Jr,Arizona St.,-0.027
"Aiken, Mikaela",2015,Fr,Virginia Tech,0.000
"Aiken, Mikaela",2016,So,Virginia Tech,0.000
"Aiken, Mikaela",2017,Jr,Virginia Tech,0.000
"Akamine, Hannah",2015,Sr,Oregon St.,-0.196
"Akamine, Hannah",2014,Jr,Tennessee,0.030
"Alaan, Jastine",2015,Fr,Mercer,-0.015
"Alaan, Jastine",2016,So,Mercer,-0.015
"Alaan, Jastine",2017,Jr,Mercer,-0.015
"Alamprese, Kaitlin",2014,Fr,Bethune-Cookman,0.048
"Alamprese, Kaitlin",2015,So,Bethune-Cookman,0.048
"Alamprese, Kaitlin",2016,Jr,Bethune-Cookman,0.048
"Alamprese, Kaitlin",2017,Sr,Bethune-Cookman,0.048
"Aldrete, Annie",2016,Jr,California,0.024
"Aldrete, Annie",2017,Sr,California,0.024
"Aldrete, Annie",2014,Fr,Tennessee,0.025
"Aldrete, Annie",2015,So,Tennessee,0.025
"Alexander, Katie",2016,Fr,Michigan,0.110
"Alexander, Katie",2017,So,Michigan,0.110
"Alford, Callie",2014,Jr,Georgia St.,-0.061
"Alford, Callie",2015,Sr,Georgia St.,-0.061
"Allen, Kelby",2014,Jr,Liberty,-0.149
"Allen, Kelby",2015,Sr,Liberty,-0.149
"Allocca, Brittany",2015,Fr,Hofstra,0.004
"Allocca, Brittany",2016,So,Hofstra,0.004
"Allocca, Brittany",2017,Jr,Hofstra,0.004
"Alvarado, Allanah",2017,Fr,Utah St.,0.024
"Alvarez, Natalie",2016,Fr,Ohio,0.002
"Alvarez, Natalie",2017,So,Ohio,0.002
"Anderson, Denise",2014,Fr,Florida A&M,0.028
"Anderson, Denise",2015,So,Florida A&M,0.028
"Anderson, Denise",2016,Jr,Florida A&M,0.028
"Anderson, Denise",2017,Sr,Florida A&M,0.028
"Anderson, Lauren",2016,Jr,Miami (OH),0.103
"Anderson, Lauren",2017,Sr,Miami (OH),0.103
"Angersbach, Jessica",2014,Fr,Villanova,-0.066
"Angersbach, Jessica",2015,So,Villanova,-0.066
"Angersbach, Jessica",2016,Jr,Villanova,-0.066
"Angersbach, Jessica",2017,Sr,Villanova,-0.066
"Aplin, Stefanie",2017,Jr,Wagner,-0.101
"Appelbe, Katherine",2014,Jr,Harvard,0.043
"Appelbe, Katherine",2015,Sr,Harvard,0.043
"Archer, Taylor",2014,So,Rhode Island,0.020
"Archer, Taylor",2015,Jr,Rhode Island,0.020
"Archer, Taylor",2016,Sr,Rhode Island,0.020
"Arciola, Alex",2015,Fr,North Florida,0.023
"Arciola, Alex",2016,So,North Florida,0.023
"Arciola, Alex",2017,Jr,North Florida,0.023
"Armstrong, Madison",2016,Fr,Western Caro.,-0.080
"Armstrong, Madison",2017,So,Western Caro.,-0.080
"Arnold, Caylor",2014,So,Northwestern,0.049
"Arnold, Caylor",2015,Jr,Northwestern,0.049
"Arnold, Caylor",2016,Sr,Northwestern,0.049
"Ashley, Jordan",2014,So,Presbyterian,-0.010
"Ashley, Jordan",2015,Jr,Presbyterian,-0.010
"Ashley, Jordan",2016,Sr,Presbyterian,-0.010
"Augustus, Jordyn",2015,Fr,South Carolina,0.000
"Augustus, Jordyn",2016,So,South Carolina,0.000
"Augustus, Jordyn",2017,Jr,South Carolina,0.000
"Avery, Madeline",2016,N/A,Cornell,-0.022
"Avery, Madeline",2017,So,Cornell,-0.022
"Avila, Alyssa",2016,Fr,San Jose St.,0.058
"Avila, Alyssa",2017,So,San Jose St.,0.058
"Baca, Brynn",2014,Fr,Lamar,0.074
"Baca, Brynn",2015,So,Lamar,0.074
"Baca, Brynn",2016,Jr,Lamar University,0.074
"Baca, Brynn",2017,Sr,Lamar University,0.074
"Bailey, Katie Anne",2014,Fr,Mississippi St.,-0.072
"Bailey, Katie Anne",2015,So,Mississippi St.,-0.072
"Bailey, Katie Anne",2016,Jr,Mississippi St.,-0.072
"Bailey, Katie Anne",2017,Sr,Mississippi St.,-0.072
"Bailiff, Katie",2016,Fr,North Carolina,0.027
"Bailiff, Katie",2017,So,North Carolina,0.027
