pitcher_id,catcher_id,count,balls,called_strikes
979690,1442802,0-1,0,15
979690,1442802,0-2,0,7
979690,1442802,1-0,19,0
979690,1442802,1-1,13,9
979690,1442802,1-2,21,16
979690,1442802,2-0,16,0
979690,1442802,2-1,10,3
979690,1442802,2-2,42,23
979690,1442802,3-0,4,0
979690,1442802,3-1,25,7
979690,1442802,3-2,65,14
979690,1530303,0-1,0,1
979690,1530303,0-2,0,5
979690,1530303,1-0,2,0
979690,1530303,1-1,10,6
979690,1530303,1-2,10,7
979690,1530303,2-0,6,0
979690,1530303,2-1,14,3
979690,1530303,2-2,26,8
979690,1530303,3-0,11,0
979690,1530303,3-1,22,6
979690,1530303,3-2,10,5
996831,1201782,0-1,0,31
996831,1201782,0-2,0,62
996831,1201782,1-0,34,0
996831,1201782,1-1,50,29
996831,1201782,1-2,118,114
996831,1201782,2-0,16,0
996831,1201782,2-1,68,20
996831,1201782,2-2,266,149
996831,1201782,3-0,45,0
996831,1201782,3-1,64,10
996831,1201782,3-2,283,102
1084406,1302321,0-1,0,1
1084406,1302321,1-0,3,0
1084406,1302321,1-1,3,1
1084406,1302321,1-2,9,8
1084406,1302321,2-0,2,0
1084406,1302321,2-1,4,0
1084406,1302321,2-2,10,2
1084406,1302321,3-0,4,0
1084406,1302321,3-1,8,1
1084406,1302321,3-2,15,7
1084406,1542174,0-1,0,24
1084406,1542174,0-2,0,58
1084406,1542174,1-0,41,0
1084406,1542174,1-1,56,36
1084406,1542174,1-2,72,70
1084406,1542174,2-0,22,0
1084406,1542174,2-1,44,14
1084406,1542174,2-2,104,56
1084406,1542174,3-0,41,0
1084406,1542174,3-1,100,18
1084406,1542174,3-2,189,67
1084917,1311703,0-1,0,4
1084917,1311703,0-2,0,5
1084917,1311703,1-0,4,0
1084917,1311703,1-1,2,0
1084917,1311703,1-2,9,5
1084917,1311703,2-1,4,2
1084917,1311703,2-2,26,6
1084917,1311703,3-1,3,1
1084917,1311703,3-2,16,2
1092554,1424405,0-1,0,1
1092554,1424405,0-2,0,7
1092554,1424405,1-0,4,0
1092554,1424405,1-1,2,1
1092554,1424405,1-2,8,8
1092554,1424405,2-0,10,0
1092554,1424405,2-1,14,2
1092554,1424405,2-2,16,7
1092554,1424405,3-0,8,0
1092554,1424405,3-1,13,4
1092554,1424405,3-2,39,9
1092554,1528454,0-2,0,2
1092554,1528454,1-0,2,0
1092554,1528454,1-1,6,2
1092554,1528454,1-2,6,5
1092554,1528454,2-0,2,0
1092554,1528454,2-1,6,0
1092554,1528454,2-2,6,5
1092554,1528454,3-0,8,0
1092554,1528454,3-1,10,2
1092554,1528454,3-2,21,9
1093775,1305436,0-1,0,3
1093775,1305436,0-2,0,3
1093775,1305436,1-1,1,1
1093775,1305436,1-2,10,10
1093775,1305436,2-1,4,2
1093775,1305436,2-2,22,14
1093775,1305436,3-0,8,0
1093775,1305436,3-1,12,3
1093775,1305436,3-2,21,7
1101115,1424851,0-2,0,2
1101115,1424851,1-0,7,0
1101115,1424851,1-1,8,7
1101115,1424851,1-2,14,13
1101115,1424851,2-0,4,0
1101115,1424851,2-1,16,3
1101115,1424851,2-2,32,14
1101115,1424851,3-0,4,0
1101115,1424851,3-1,23,4
1101115,1424851,3-2,43,19
1103104,1424916,0-1,0,3
1103104,1424916,0-2,0,6
1103104,1424916,1-0,5,0
1103104,1424916,1-1,11,8
1103104,1424916,1-2,21,23
1103104,1424916,2-0,2,0
1103104,1424916,2-1,14,7
1103104,1424916,2-2,24,15
1103104,1424916,3-0,40,0
1103104,1424916,3-1,48,12
1103104,1424916,3-2,32,12
1110749,1220653,0-1,0,2
1110749,1220653,1-0,3,0
1110749,1220653,1-1,3,2
1110749,1220653,1-2,2,1
1110749,1220653,2-0,6,0
1110749,1220653,2-1,6,1
1110749,1220653,2-2,18,8
1110749,1220653,3-0,4,0
1110749,1220653,3-1,4,0
1110749,1220653,3-2,27,6
1110749,1434241,0-1,0,4
1110749,1434241,0-2,0,2
1110749,1434241,1-0,4,0
1110749,1434241,1-1,2,2
1110749,1434241,1-2,5,6
1110749,1434241,2-1,6,2
1110749,1434241,2-2,6,4
1110749,1434241,3-1,19,5
1110749,1434241,3-2,22,4
1192962,1531904,0-1,0,2
1192962,1531904,1-0,2,0
1192962,1531904,1-1,4,0
1192962,1531904,1-2,6,4
1192962,1531904,2-0,6,0
1192962,1531904,2-1,4,1
