rk,school,div,str,park,ofs,dfs,sos
1,Arizona,D1,7.364,1.181,2.285,0.310,1.377
2,Florida,D1,7.153,0.956,2.136,0.299,1.356
3,Minnesota,D1,5.481,1.025,2.159,0.394,1.180
4,Texas A&M,D1,5.400,0.953,2.141,0.396,1.385
5,Florida St.,D1,5.253,0.981,2.058,0.392,1.280
6,Oregon,D1,5.198,0.971,2.061,0.396,1.376
7,Washington,D1,4.727,0.976,2.289,0.484,1.485
8,Tennessee,D1,4.719,0.995,2.090,0.443,1.352
9,Auburn,D1,4.532,1.019,1.946,0.430,1.390
10,Oklahoma,D1,4.266,1.061,1.989,0.466,1.260
11,Utah,D1,4.109,1.215,1.849,0.450,1.360
12,Alabama,D1,3.879,0.994,1.509,0.389,1.329
13,LSU,D1,3.800,0.911,1.782,0.469,1.410
14,James Madison,D1,3.775,1.060,1.702,0.451,1.074
15,UCLA,D1,3.734,0.985,1.872,0.501,1.488
16,Louisiana,D1,3.574,0.993,2.229,0.624,1.149
17,Arizona St.,D1,3.464,1.146,1.501,0.433,1.445
18,Michigan,D1,3.430,0.987,1.590,0.463,1.210
19,Baylor,D1,3.201,0.867,1.682,0.525,1.280
20,BYU,D1,3.084,1.112,1.523,0.494,1.144
21,Texas,D1,3.002,0.940,1.761,0.587,1.351
22,Ole Miss,D1,2.918,0.965,1.568,0.537,1.334
23,Georgia,D1,2.912,1.017,1.823,0.626,1.339
24,South Carolina,D1,2.721,0.912,1.803,0.663,1.431
25,Kentucky,D1,2.684,1.046,1.345,0.501,1.378
26,Texas St.,D1,2.634,1.017,1.298,0.493,1.159
27,Missouri,D1,2.617,0.972,1.828,0.698,1.404
28,Ohio St.,D1,2.593,1.039,1.619,0.624,1.184
29,Arkansas,D1,2.525,0.974,1.533,0.607,1.324
30,Mississippi St.,D1,2.428,0.937,1.394,0.574,1.310
31,Oregon St.,D1,2.425,0.955,1.767,0.729,1.379
32,California,D1,2.376,0.985,1.383,0.582,1.420
33,Jacksonville St.,D1,2.352,1.036,1.397,0.594,1.014
34,Wisconsin,D1,2.330,1.040,1.630,0.699,1.130
35,Louisiana Tech,D1,2.322,0.892,1.524,0.657,1.067
36,McNeese,D1,2.252,0.908,1.747,0.776,1.114
37,Tulsa,D1,2.221,1.088,1.147,0.516,1.154
38,Illinois,D1,2.175,1.095,1.718,0.790,1.229
39,North Georgia,D2,2.127,0.941,1.806,0.472,0.957
