rk,school,div,str,park,ofs,dfs,sos
1,Texas-Tyler,3,1.722,0.985,2.219,0.295,0.707
2,Trine,3,1.240,1.070,2.281,0.422,0.703
3,East Tex. Baptist,3,1.136,0.921,2.019,0.408,0.705
4,Emory,3,1.122,0.999,2.081,0.425,0.785
5,Salisbury,3,1.121,0.966,1.737,0.355,0.727
6,Tufts,3,1.035,0.869,1.835,0.407,0.570
7,Linfield,3,1.015,0.982,1.808,0.408,0.706
8,Texas Lutheran,3,1.006,0.941,1.832,0.417,0.604
9,Ill. Wesleyan,3,1.002,0.966,2.018,0.462,0.696
10,Chris. Newport,3,0.993,1.000,2.315,0.534,0.734
11,Averett,3,0.968,1.108,1.770,0.419,0.656
12,Rowan,3,0.948,1.017,1.643,0.397,0.603
13,Berry,3,0.936,1.019,1.692,0.415,0.625
14,Alma,3,0.934,0.980,1.495,0.367,0.718
15,Birmingham-So.,3,0.900,0.928,1.685,0.429,0.600
16,Lynchburg,3,0.896,0.980,1.734,0.444,0.721
17,Claremont-M-S,3,0.875,0.931,1.677,0.440,0.682
18,Luther,3,0.866,0.991,1.931,0.511,0.656
19,North Central (IL),3,0.862,0.975,1.981,0.527,0.695
20,Aurora,3,0.847,0.959,1.642,0.444,0.617
21,Randolph-Macon,3,0.803,1.022,1.557,0.444,0.720
22,St. Thomas (MN),3,0.801,0.895,1.717,0.492,0.664
23,Lake Forest,3,0.789,1.017,1.499,0.436,0.600
24,Hope,3,0.785,1.005,1.747,0.510,0.682
25,George Fox,3,0.727,0.997,1.570,0.495,0.666
26,Moravian,3,0.719,0.897,1.555,0.496,0.628
27,Central (IA),3,0.712,0.912,2.068,0.666,0.659
28,Gust. Adolphus,3,0.709,0.881,1.565,0.506,0.676
29,Fontbonne,3,0.700,0.907,1.234,0.404,0.581
30,Anderson (IN),3,0.691,1.088,1.755,0.583,0.687
31,Bluffton,3,0.690,1.071,1.767,0.587,0.656
32,McDaniel,3,0.672,0.926,1.409,0.481,0.612
33,MIT,3,0.661,1.026,1.264,0.438,0.590
34,Messiah,3,0.653,1.018,1.578,0.554,0.616
35,Augustana (IL),3,0.643,0.932,1.660,0.592,0.650
36,Guilford,3,0.632,1.025,1.566,0.568,0.645
37,Simpson,3,0.628,1.017,1.498,0.547,0.687
38,Louisiana Col.,3,0.620,0.881,1.428,0.528,0.656
38,Alfred,3,0.620,0.982,1.631,0.603,0.553
40,Susquehanna,3,0.608,0.871,1.510,0.569,0.608
41,DePauw,3,0.599,1.019,1.548,0.592,0.703
42,Heidelberg,3,0.595,1.085,1.717,0.662,0.646
43,Pacific (OR),3,0.585,0.961,1.424,0.559,0.708
44,Frostburg St.,3,0.581,0.991,1.525,0.602,0.629
45,Rochester (NY),3,0.580,0.953,1.463,0.578,0.638
46,Roanoke,3,0.578,0.998,1.321,0.524,0.700
46,Case,3,0.578,1.078,1.824,0.724,0.626
48,Haverford,3,0.561,0.903,1.468,0.600,0.624
49,Bethel (MN),3,0.559,0.955,1.628,0.668,0.629
50,Cornell College,3,0.557,1.006,1.441,0.593,0.544
51,La Verne,3,0.552,0.990,1.567,0.651,0.690
52,St. Catherine,3,0.547,0.968,1.348,0.565,0.536
53,Piedmont,3,0.541,1.025,1.468,0.622,0.665
54,Ramapo,3,0.534,0.950,1.608,0.690,0.654
55,Kean,3,0.533,0.992,1.214,0.522,0.627
56,SUNY Cortland,3,0.529,0.984,1.409,0.611,0.632
57,Mary Washington,3,0.520,0.962,1.452,0.640,0.628
58,Capital,3,0.515,0.939,1.747,0.778,0.649
59,LaGrange,3,0.510,1.042,1.295,0.582,0.672
59,Gettysburg,3,0.510,1.101,1.450,0.652,0.602
61,Neb. Wesleyan,3,0.506,1.022,1.601,0.725,0.484
62,Benedictine (IL),3,0.503,0.971,1.284,0.586,0.544
63,St. Mary's (IN),3,0.498,1.089,1.641,0.755,0.655
64,St. John Fisher,3,0.488,1.002,1.242,0.583,0.574
65,Middlebury,3,0.479,0.919,1.160,0.555,0.580
66,Thomas More,3,0.475,0.995,1.323,0.639,0.598
67,Ithaca,3,0.473,0.921,1.311,0.635,0.646
68,Mary Hardin-Baylor,3,0.469,0.875,1.445,0.705,0.661
69,Hamline,3,0.468,0.996,1.320,0.647,0.629
70,N.C. Wesleyan,3,0.465,1.024,1.423,0.702,0.666
71,Trinity (TX),3,0.451,0.937,1.396,0.710,0.684
71,Ferrum,3,0.451,1.004,1.256,0.639,0.667
73,Adrian,3,0.449,1.033,1.547,0.790,0.653
74,Frank. & Marsh.,3,0.444,1.032,1.060,0.548,0.522
75,Elmhurst,3,0.443,0.954,1.355,0.700,0.632
76,SUNY Oneonta,3,0.441,1.020,1.205,0.626,0.589
77,Coe,3,0.440,1.067,1.165,0.607,0.668
78,TCNJ,3,0.439,0.976,1.265,0.660,0.657
79,Eastern Conn. St.,3,0.435,1.004,1.295,0.682,0.554
80,Chicago,3,0.427,0.874,1.394,0.749,0.702
81,Stevenson,3,0.424,1.017,1.323,0.716,0.669
82,Pacific Lutheran,3,0.423,1.013,1.490,0.808,0.722
82,Emory & Henry,3,0.423,1.094,1.237,0.670,0.599
84,Babson,3,0.422,0.928,1.289,0.700,0.569
84,Salem,3,0.422,1.035,1.226,0.666,0.613
86,Ohio Northern,3,0.421,0.971,1.186,0.646,0.630
86,East. Mennonite,3,0.421,1.081,1.488,0.811,0.601
88,Franklin,3,0.417,1.069,1.145,0.629,0.580
89,Bowdoin,3,0.416,0.937,1.228,0.676,0.558
90,Cal Lutheran,3,0.414,1.059,1.416,0.784,0.702
91,Hanover,3,0.411,0.998,1.322,0.737,0.649
92,Muskingum,3,0.410,1.012,1.407,0.786,0.614
92,Brandeis,3,0.410,0.999,1.542,0.863,0.571
94,Rutgers-Camden,3,0.409,0.915,1.179,0.661,0.603
95,Randolph,3,0.403,0.993,1.472,0.837,0.634
96,Stockton,3,0.402,0.945,1.056,0.603,0.588
97,Lawrence,3,0.397,0.956,1.319,0.762,0.534
98,Stevens,3,0.396,0.984,1.195,0.692,0.551
99,John Carroll,3,0.395,0.998,1.260,0.731,0.644
100,Chapman,3,0.394,1.010,1.181,0.687,0.707
101,Texas-Dallas,3,0.393,1.033,1.450,0.845,0.644
102,Buffalo St.,3,0.387,0.959,1.398,0.827,0.585
103,SUNY Geneseo,3,0.384,0.990,1.378,0.822,0.574
104,Redlands,3,0.381,1.008,1.724,1.036,0.705
105,Hardin-Simmons,3,0.379,1.080,1.455,0.881,0.660
106,Hamilton,3,0.377,1.028,1.140,0.694,0.569
107,Pomona-Pitzer,3,0.373,1.041,1.064,0.655,0.678
108,Neumann,3,0.372,0.991,1.055,0.650,0.425
109,Saint Mary's (MN),3,0.371,0.953,1.176,0.726,0.669
110,Amherst,3,0.369,0.970,1.636,1.016,0.644
111,Springfield,3,0.364,1.040,1.108,0.698,0.601
112,Olivet,3,0.361,1.022,1.220,0.775,0.603
112,Greensboro,3,0.361,1.010,1.420,0.901,0.642
114,Misericordia,3,0.360,1.003,1.156,0.735,0.540
114,Husson,3,0.360,1.019,1.036,0.660,0.512
114,Smith,3,0.360,1.071,1.163,0.739,0.585
117,Concordia Wisconsin,3,0.358,0.966,1.305,0.837,0.552
118,Buena Vista,3,0.357,1.077,1.392,0.893,0.695
119,Saint Benedict,3,0.355,0.950,1.319,0.853,0.651
120,Millsaps,3,0.354,1.051,1.073,0.695,0.581
120,Huntingdon,3,0.354,0.929,1.073,0.696,0.659
122,Mt. St. Mary (NY),3,0.352,0.968,1.143,0.744,0.450
123,Rensselaer,3,0.347,0.893,1.129,0.747,0.589
124,Kenyon,3,0.341,1.041,1.218,0.819,0.500
125,Brockport,3,0.339,0.925,1.135,0.766,0.556
126,Albright,3,0.335,0.982,0.813,0.557,0.493
127,Carthage,3,0.334,0.940,1.177,0.809,0.648
127,Denison,3,0.334,0.983,1.051,0.722,0.586
129,Southwestern (TX),3,0.329,1.029,1.233,0.859,0.572
130,Loras,3,0.328,0.969,1.205,0.841,0.601
131,Lebanon Valley,3,0.327,0.936,1.258,0.882,0.685
132,Millikin,3,0.326,0.964,1.430,1.005,0.690
133,Maryville (TN),3,0.320,0.958,1.121,0.803,0.702
133,Concordia Chicago,3,0.320,0.960,1.320,0.946,0.565
135,DeSales,3,0.317,1.044,1.197,0.866,0.585
136,Lewis & Clark,3,0.314,1.006,1.271,0.927,0.737
137,Penn St.-Behrend,3,0.313,0.957,1.017,0.745,0.497
138,Elizabethtown,3,0.310,0.971,1.091,0.806,0.636
139,D'Youville,3,0.305,1.003,0.879,0.661,0.489
140,Rhodes,3,0.302,1.080,1.197,0.908,0.632
141,Carroll (WI),3,0.301,0.933,1.064,0.811,0.544
142,St. Norbert,3,0.300,0.969,1.232,0.943,0.617
143,St. Scholastica,3,0.298,0.945,1.097,0.844,0.456
143,Transylvania,3,0.298,0.981,1.298,1.000,0.630
145,Alvernia,3,0.297,0.912,1.361,1.050,0.618
146,Methodist,3,0.296,0.959,1.265,0.980,0.629
147,Clarkson,3,0.293,0.998,1.005,0.786,0.516
148,Mt. St. Joseph,3,0.292,1.005,1.108,0.869,0.606
149,Penn St.-Altoona,3,0.291,1.013,1.025,0.808,0.473
149,Rose-Hulman,3,0.291,1.063,0.941,0.742,0.572
149,Cabrini,3,0.291,0.962,1.085,0.855,0.440
152,Shenandoah,3,0.290,1.084,1.090,0.861,0.718
153,Staten Island,3,0.289,0.965,1.152,0.913,0.459
154,Marietta,3,0.288,0.991,1.016,0.810,0.640
154,LeTourneau,3,0.288,0.934,1.085,0.862,0.668
154,Dubuque,3,0.288,0.939,1.155,0.920,0.666
157,Skidmore,3,0.287,0.988,1.104,0.884,0.605
158,Dallas,3,0.286,0.960,1.029,0.826,0.559
158,Muhlenberg,3,0.286,0.916,1.077,0.865,0.673
158,King's (PA),3,0.286,0.949,1.219,0.976,0.527
161,Meredith,3,0.283,1.032,1.125,0.911,0.609
