BEGIN
 year | div | div |  won  | lost  | tied | count 
------+-----+-----+-------+-------+------+-------
 2008 | I   | I   | 15147 | 15147 |   40 | 30334
 2008 | I   | II  |   191 |    61 |    0 |   252
 2008 | I   | III |    72 |    45 |    0 |   117
 2008 | II  | II  | 10777 | 10777 |   16 | 21570
 2008 | II  | III |   304 |   121 |    0 |   425
 2008 | III | III | 13179 | 13179 |   30 | 26388
 2009 | I   | I   | 14180 | 14180 |   20 | 28380
 2009 | I   | II  |   256 |   157 |    1 |   414
 2009 | I   | III |    12 |    12 |    0 |    24
 2009 | II  | II  | 11083 | 11083 |   20 | 22186
 2009 | II  | III |   196 |    53 |    0 |   249
 2009 | III | III | 13905 | 13905 |   36 | 27846
 2010 | I   | I   | 15145 | 15145 |   30 | 30320
 2010 | I   | II  |   113 |    91 |    1 |   205
 2010 | I   | III |    14 |    12 |    0 |    26
 2010 | II  | II  | 11277 | 11277 |   18 | 22572
 2010 | II  | III |   183 |    92 |    0 |   275
 2010 | III | III | 14320 | 14320 |   60 | 28700
 2011 | I   | I   | 14856 | 14856 |   24 | 29736
 2011 | I   | II  |   101 |   113 |    0 |   214
 2011 | I   | III |    20 |     2 |    0 |    22
 2011 | II  | II  | 11591 | 11591 |   30 | 23212
 2011 | II  | III |   168 |    77 |    0 |   245
 2011 | III | III | 14114 | 14114 |   44 | 28272
 2012 | I   | I   | 15290 | 15290 |   28 | 30608
 2012 | I   | II  |    46 |    37 |    0 |    83
 2012 | I   | III |    14 |     8 |    0 |    22
 2012 | II  | II  | 12712 | 12712 |    0 | 25424
 2012 | II  | III |   159 |    91 |    0 |   250
 2012 | III | III | 15015 | 15015 |   28 | 30058
 2013 | I   | I   | 15005 | 15005 |   28 | 30038
 2013 | I   | II  |   134 |    56 |    0 |   190
 2013 | I   | III |     8 |     0 |    0 |     8
 2013 | II  | II  | 12434 | 12434 |   32 | 24900
 2013 | II  | III |   152 |    48 |    2 |   202
 2013 | III | III | 14638 | 14638 |   16 | 29292
 2014 | I   | I   | 14794 | 14794 |   52 | 29640
 2014 | I   | II  |   262 |   132 |    0 |   394
 2014 | I   | III |     8 |     6 |    0 |    14
 2014 | II  | II  | 13001 | 13001 |   20 | 26022
 2014 | II  | III |    80 |    40 |    2 |   122
 2014 | III | III | 14134 | 14134 |   28 | 28296
 2015 | I   | I   | 14992 | 14992 |   16 | 30000
 2015 | I   | II  |    56 |    12 |    0 |    68
 2015 | I   | III |     8 |     0 |    0 |     8
 2015 | II  | II  | 12904 | 12904 |   36 | 25844
 2015 | II  | III |    94 |    58 |    0 |   152
 2015 | III | III | 14275 | 14275 |   40 | 28590
 2016 | I   | I   | 15514 | 15514 |   36 | 31064
 2016 | I   | II  |    22 |    24 |    0 |    46
 2016 | I   | III |     8 |     0 |    0 |     8
 2016 | II  | II  | 14053 | 14053 |   40 | 28146
 2016 | II  | III |    82 |    32 |    0 |   114
 2016 | III | III | 15080 | 15080 |   40 | 30200
 2017 | I   | I   | 10454 | 10454 |   24 | 20932
 2017 | I   | II  |    20 |    12 |    0 |    32
 2017 | I   | III |    18 |     0 |    0 |    18
 2017 | II  | II  | 10068 | 10068 |   24 | 20160
 2017 | II  | III |    84 |    30 |    0 |   114
 2017 | III | III |  9339 |  9339 |   12 | 18690
(60 rows)

COMMIT
