BEGIN
 year | div | div |  won  | lost  | tied | count 
------+-----+-----+-------+-------+------+-------
 2008 | I   | I   | 12637 | 12637 |   28 | 25302
 2008 | I   | II  |   165 |    54 |    0 |   219
 2008 | I   | III |    59 |    34 |    0 |    93
 2008 | II  | II  |  8707 |  8707 |   14 | 17428
 2008 | II  | III |   246 |    78 |    0 |   324
 2008 | III | III | 10087 | 10087 |   22 | 20196
 2009 | I   | I   | 11760 | 11760 |   16 | 23536
 2009 | I   | II  |   234 |   137 |    1 |   372
 2009 | I   | III |    12 |     8 |    0 |    20
 2009 | II  | II  |  8989 |  8989 |   16 | 17994
 2009 | II  | III |   157 |    35 |    0 |   192
 2009 | III | III | 10744 | 10744 |   20 | 21508
 2010 | I   | I   | 12458 | 12458 |   20 | 24936
 2010 | I   | II  |   102 |    82 |    1 |   185
 2010 | I   | III |    14 |    12 |    0 |    26
 2010 | II  | II  |  9165 |  9165 |   10 | 18340
 2010 | II  | III |   137 |    70 |    0 |   207
 2010 | III | III | 11068 | 11068 |   36 | 22172
 2011 | I   | I   | 12364 | 12364 |   12 | 24740
 2011 | I   | II  |    91 |    86 |    0 |   177
 2011 | I   | III |    16 |     2 |    0 |    18
 2011 | II  | II  |  9309 |  9309 |   24 | 18642
 2011 | II  | III |   143 |    56 |    0 |   199
 2011 | III | III | 10880 | 10880 |   32 | 21792
 2012 | I   | I   | 12692 | 12692 |   16 | 25400
 2012 | I   | II  |    44 |    31 |    0 |    75
 2012 | I   | III |    14 |     8 |    0 |    22
 2012 | II  | II  | 10114 | 10114 |    0 | 20228
 2012 | II  | III |   125 |    51 |    0 |   176
 2012 | III | III | 11687 | 11687 |   24 | 23398
 2013 | I   | I   | 12555 | 12555 |   24 | 25134
 2013 | I   | II  |   114 |    52 |    0 |   166
 2013 | I   | III |     8 |     0 |    0 |     8
 2013 | II  | II  |  9824 |  9824 |   28 | 19676
 2013 | II  | III |   104 |    36 |    0 |   140
 2013 | III | III | 11398 | 11398 |   16 | 22812
 2014 | I   | I   | 12328 | 12328 |   40 | 24696
 2014 | I   | II  |   240 |   122 |    0 |   362
 2014 | I   | III |     8 |     6 |    0 |    14
 2014 | II  | II  | 10155 | 10155 |   16 | 20326
 2014 | II  | III |    64 |    26 |    2 |    92
 2014 | III | III | 10882 | 10882 |   20 | 21784
 2015 | I   | I   | 12276 | 12276 |   16 | 24568
 2015 | I   | II  |    46 |    10 |    0 |    56
 2015 | I   | III |     8 |     0 |    0 |     8
 2015 | II  | II  | 10152 | 10152 |   32 | 20336
 2015 | II  | III |    62 |    44 |    0 |   106
 2015 | III | III | 10892 | 10892 |   28 | 21812
(48 rows)

COMMIT
