rk,school,div,str,park,ofs,dfs,sos
1,Florida,1,7.555,0.964,2.657,0.352,1.535
2,LSU,1,6.225,0.930,2.399,0.385,1.476
3,Michigan,1,6.163,0.986,2.325,0.377,1.282
4,Oregon,1,6.065,1.022,2.394,0.395,1.474
4,Alabama,1,6.065,1.002,2.172,0.358,1.472
6,UCLA,1,5.285,1.016,2.527,0.478,1.411
7,Oklahoma,1,5.236,1.078,2.282,0.436,1.223
8,La.-Lafayette,1,5.105,0.995,2.227,0.436,1.283
9,Auburn,1,5.057,1.025,2.715,0.537,1.447
10,Tennessee,1,4.873,1.007,2.370,0.486,1.470
11,Georgia,1,4.758,1.037,2.075,0.436,1.348
12,Missouri,1,4.289,0.995,2.311,0.539,1.494
13,Florida St.,1,4.245,1.019,1.815,0.428,1.407
14,UCF,1,3.655,0.970,1.422,0.389,1.182
15,Arizona,1,3.646,1.182,2.043,0.560,1.437
16,Minnesota,1,3.581,1.004,1.871,0.523,1.253
17,Notre Dame,1,3.491,1.033,2.080,0.596,1.291
18,James Madison,1,3.473,1.057,1.631,0.470,1.149
19,California,1,3.211,0.989,1.792,0.558,1.379
20,North Carolina St.,1,3.127,1.046,1.640,0.524,1.334
21,Baylor,1,3.075,0.854,1.604,0.522,1.309
22,Kentucky,1,3.038,1.058,1.447,0.476,1.510
23,Texas A&M,1,3.031,0.963,1.793,0.591,1.423
24,North Carolina,1,2.992,1.087,1.815,0.607,1.260
25,Arizona St.,1,2.977,1.152,1.950,0.655,1.470
26,Hofstra,1,2.801,0.990,1.512,0.540,1.183
27,Texas,1,2.780,0.950,1.634,0.588,1.269
28,Fresno St.,1,2.737,0.877,1.476,0.539,1.216
29,South Carolina,1,2.640,0.921,1.752,0.664,1.365
30,CSUN,1,2.620,0.935,1.531,0.584,1.166
31,Mississippi St.,1,2.545,0.951,1.853,0.728,1.356
32,Nebraska,1,2.543,1.014,1.941,0.763,1.289
33,Louisville,1,2.510,0.920,1.627,0.648,1.271
34,North Dakota St.,1,2.498,1.032,1.480,0.593,1.067
35,South Ala.,1,2.421,1.019,1.425,0.589,1.199
36,Fla. Atlantic,1,2.386,0.933,1.366,0.572,1.185
37,Northwestern,1,2.357,1.082,1.709,0.725,1.383
38,Kansas,1,2.325,0.993,1.648,0.709,1.226
39,BYU,1,2.266,1.111,1.535,0.677,1.115
40,Tulsa,1,2.254,1.101,1.267,0.562,1.088
41,Long Beach St.,1,2.002,0.812,1.547,0.773,1.315
42,Cal St. Fullerton,1,1.991,0.978,1.485,0.746,1.261
43,South Fla.,1,1.986,0.971,1.342,0.676,1.175
44,Hawaii,1,1.951,0.898,1.356,0.695,1.239
45,Texas St.,1,1.947,1.028,1.325,0.681,1.153
46,Idaho St.,1,1.944,1.043,1.420,0.730,1.029
47,Oregon St.,1,1.930,0.970,1.588,0.823,1.349
48,San Jose St.,1,1.919,0.888,1.557,0.811,1.204
49,Pittsburgh,1,1.873,1.049,1.289,0.688,1.212
50,San Diego St.,1,1.863,0.919,1.628,0.874,1.308
51,Kent St.,1,1.839,1.156,1.042,0.567,0.994
51,Georgia St.,1,1.839,1.113,1.733,0.942,1.194
53,Marshall,1,1.834,1.052,1.232,0.672,1.066
54,Fordham,1,1.820,0.999,1.315,0.723,1.065
55,Northwestern St.,1,1.770,0.932,1.377,0.778,1.034
56,Lipscomb,1,1.769,0.998,1.195,0.676,1.133
57,UC Riverside,1,1.752,0.968,1.146,0.654,1.110
58,Grand Canyon,1,1.746,1.065,1.486,0.851,1.088
58,Longwood,1,1.746,1.009,1.466,0.840,1.059
60,Ohio St.,1,1.744,1.064,1.728,0.991,1.223
61,McNeese St.,1,1.711,0.936,1.340,0.783,1.078
62,Ole Miss,1,1.682,0.976,1.407,0.836,1.249
63,New Mexico St.,1,1.674,1.259,1.446,0.864,1.160
64,SIUE,1,1.653,0.923,1.130,0.683,1.001
65,Boston College,1,1.637,1.012,1.168,0.714,1.138
66,Lehigh,1,1.635,0.943,1.061,0.649,0.866
67,Chattanooga,1,1.592,1.014,1.189,0.747,1.057
68,Troy,1,1.588,0.936,1.338,0.843,1.146
69,Stanford,1,1.578,0.961,1.780,1.128,1.505
70,UAB,1,1.572,0.966,1.366,0.869,1.192
70,Louisiana Tech,1,1.572,0.896,1.365,0.868,1.019
72,Mercer,1,1.565,0.993,1.169,0.747,1.070
73,La.-Monroe,1,1.562,0.961,1.377,0.881,1.110
74,Dayton,1,1.559,0.930,1.119,0.718,0.968
75,Drake,1,1.557,1.044,0.966,0.620,1.041
76,Maryland,1,1.552,1.024,1.492,0.962,1.152
77,Purdue,1,1.537,0.955,0.923,0.601,1.159
78,Texas Tech,1,1.535,1.098,1.384,0.902,1.222
79,St. John's (NY),1,1.511,0.989,1.264,0.837,1.043
80,FIU,1,1.487,0.986,1.213,0.816,1.096
81,Rutgers,1,1.485,1.047,1.432,0.964,1.112
82,IUPUI,1,1.465,1.022,1.146,0.782,0.987
83,Penn St.,1,1.453,1.058,1.222,0.841,1.233
84,Jacksonville St.,1,1.446,1.055,1.175,0.812,0.954
85,Colorado St.,1,1.441,1.129,1.191,0.827,1.110
86,Stony Brook,1,1.432,0.935,1.222,0.853,0.924
87,Murray St.,1,1.431,1.027,1.169,0.817,0.944
88,Ball St.,1,1.411,1.062,1.536,1.088,1.050
89,Cal Poly,1,1.407,0.887,1.019,0.724,1.209
90,Houston,1,1.400,0.984,1.250,0.893,1.164
91,Dartmouth,1,1.344,1.062,0.929,0.691,1.017
92,Coastal Caro.,1,1.339,1.013,1.178,0.880,0.992
93,Stetson,1,1.334,1.029,1.087,0.815,0.998
93,Syracuse,1,1.334,1.083,1.241,0.930,1.123
95,Kennesaw St.,1,1.330,0.924,1.238,0.931,1.035
96,Central Ark.,1,1.319,1.049,1.059,0.803,1.035
97,Illinois,1,1.310,1.089,1.521,1.161,1.235
98,Charlotte,1,1.308,1.096,1.007,0.770,1.051
99,Georgia Tech,1,1.307,1.108,0.927,0.709,1.387
100,Iowa,1,1.281,0.979,1.223,0.955,1.392
101,North Florida,1,1.280,1.025,1.041,0.813,1.084
102,UC Davis,1,1.266,0.915,1.123,0.888,1.237
103,Towson,1,1.249,0.909,1.070,0.857,0.974
104,Saint Louis,1,1.233,0.922,1.232,0.999,0.944
105,Arkansas,1,1.231,0.961,1.233,1.001,1.427
106,New Mexico,1,1.199,1.203,1.141,0.951,1.152
107,Oklahoma St.,1,1.194,1.074,1.056,0.884,1.179
108,Samford,1,1.190,1.049,1.070,0.899,1.060
109,San Diego,1,1.185,0.893,0.970,0.819,1.040
110,Missouri St.,1,1.180,0.974,0.985,0.835,1.063
111,UNI,1,1.177,1.082,1.110,0.943,1.064
112,South Dakota,1,1.160,1.090,1.378,1.189,0.988
113,Illinois St.,1,1.157,1.015,1.163,1.005,1.141
114,Texas-Arlington,1,1.155,0.927,1.259,1.091,1.106
115,Central Conn. St.,1,1.139,1.048,0.833,0.732,0.858
116,North Texas,1,1.137,1.073,1.109,0.975,1.190
117,Sacramento St.,1,1.135,0.948,1.102,0.971,1.062
118,Bakersfield,1,1.132,1.003,0.997,0.881,1.126
119,Creighton,1,1.126,1.040,0.931,0.827,0.972
120,Jacksonville,1,1.095,0.993,1.125,1.028,1.033
121,UMKC,1,1.079,0.941,1.266,1.174,1.000
122,Michigan St.,1,1.077,0.987,1.197,1.112,1.179
123,Pacific,1,1.076,0.971,0.980,0.911,1.225
124,Northern Ill.,1,1.074,1.065,1.075,1.000,0.997
125,Furman,1,1.069,1.068,0.896,0.838,1.044
126,Iowa St.,1,1.067,1.172,0.997,0.935,1.165
127,Tennessee Tech,1,1.066,0.874,1.078,1.011,0.972
128,Central Mich.,1,1.063,0.990,0.960,0.903,1.000
129,Butler,1,1.049,0.993,1.058,1.009,1.013
130,Col. of Charleston,1,1.039,0.914,1.141,1.098,1.069
131,Eastern Ky.,1,1.034,1.008,0.972,0.940,1.034
132,FGCU,1,1.021,0.923,1.042,1.021,1.088
133,East Carolina,1,1.020,0.964,0.983,0.964,1.220
134,Loyola Marymount,1,1.013,0.962,0.966,0.953,1.063
135,Lamar,1,1.011,0.977,1.171,1.158,0.981
136,Maine,1,1.007,0.967,0.858,0.852,0.950
137,Nevada,1,1.002,1.113,1.184,1.182,1.181
138,Akron,1,0.995,0.954,0.873,0.877,0.975
139,Miami (OH),1,0.994,0.972,0.930,0.936,0.950
140,Indiana,1,0.992,1.084,1.313,1.324,1.217
141,Elon,1,0.990,0.966,1.010,1.020,1.038
142,DePaul,1,0.988,1.042,1.159,1.173,1.081
143,St. Mary's (CA),1,0.981,0.969,0.997,1.016,1.103
144,Campbell,1,0.977,0.962,0.962,0.985,0.929
145,Binghamton,1,0.966,1.052,1.200,1.243,0.987
146,Middle Tenn.,1,0.960,0.983,1.037,1.081,0.991
147,A&M-Corpus Christi,1,0.958,0.864,0.895,0.934,1.021
148,Bradley,1,0.957,0.998,1.131,1.182,1.050
149,UNCG,1,0.948,1.043,1.228,1.295,0.965
150,UC Santa Barbara,1,0.943,0.993,1.224,1.299,1.216
151,Bucknell,1,0.925,0.963,1.098,1.187,0.870
152,Ill.-Chicago,1,0.922,1.014,0.876,0.950,0.960
153,Omaha,1,0.918,0.950,0.902,0.983,1.011
154,Liberty,1,0.915,1.112,0.931,1.018,0.965
155,Albany (NY),1,0.904,0.965,1.015,1.123,0.837
155,Indiana St.,1,0.904,1.030,1.023,1.132,1.074
157,Nicholls St.,1,0.898,0.960,1.126,1.254,0.915
158,Boise St.,1,0.897,1.093,1.046,1.166,1.164
158,Memphis,1,0.897,0.971,0.949,1.057,1.090
160,Charleston So.,1,0.896,0.938,0.972,1.085,0.963
160,Saint Francis (PA),1,0.896,1.100,0.925,1.032,0.891
162,Presbyterian,1,0.888,1.038,0.880,0.991,0.945
163,Cleveland St.,1,0.878,0.984,1.019,1.160,0.908
164,Oakland,1,0.870,0.970,0.912,1.048,0.935
165,Seton Hall,1,0.869,0.997,1.079,1.241,1.006
166,Southern Utah,1,0.868,1.235,0.940,1.083,1.075
167,Northern Colo.,1,0.864,1.204,1.031,1.194,0.986
168,Eastern Ill.,1,0.862,0.879,0.942,1.093,1.039
169,Delaware,1,0.860,0.925,0.947,1.101,0.865
170,Harvard,1,0.852,1.007,0.909,1.068,0.894
171,Stephen F. Austin,1,0.844,0.938,0.907,1.074,1.025
172,Southeastern La.,1,0.836,0.992,1.039,1.243,0.982
173,Robert Morris,1,0.834,1.145,0.777,0.932,0.901
174,Seattle,1,0.833,0.980,1.102,1.322,1.072
175,Sam Houston St.,1,0.823,0.915,0.892,1.083,1.013
176,Providence,1,0.808,1.016,0.982,1.214,1.059
177,Montana,1,0.805,0.999,1.079,1.341,1.066
178,George Mason,1,0.801,0.933,0.906,1.132,0.912
179,Ga. Southern,1,0.800,1.019,0.929,1.162,1.262
180,Bethune-Cookman,1,0.799,0.980,0.862,1.080,0.914
181,Saint Joseph's,1,0.796,1.031,0.996,1.252,0.881
182,Toledo,1,0.788,0.967,0.864,1.097,0.952
183,UConn,1,0.786,1.122,0.838,1.066,1.123
184,Santa Clara,1,0.785,0.937,0.836,1.065,1.102
185,Southern Ill.,1,0.773,0.949,0.927,1.200,1.027
186,LIU Brooklyn,1,0.761,1.066,1.052,1.384,1.007
187,Drexel,1,0.759,0.961,0.870,1.146,0.920
188,Portland St.,1,0.756,0.899,0.934,1.235,1.076
189,Princeton,1,0.754,1.008,0.755,1.001,0.900
190,Ohio,1,0.753,0.996,1.035,1.375,1.033
191,Southern Miss.,1,0.744,0.974,0.780,1.049,1.001
192,Canisius,1,0.742,0.975,0.854,1.151,0.769
193,Southeast Mo. St.,1,0.737,1.057,1.034,1.403,0.956
194,La Salle,1,0.735,1.027,0.862,1.173,0.953
194,Appalachian St.,1,0.735,1.151,0.937,1.275,1.141
196,Penn,1,0.726,1.017,0.920,1.267,0.911
197,Georgetown,1,0.700,1.032,0.824,1.177,1.002
198,Colgate,1,0.683,1.063,0.820,1.200,0.842
199,Boston U.,1,0.682,0.935,0.912,1.336,0.925
200,George Washington,1,0.669,0.937,0.836,1.250,0.861
201,Savannah St.,1,0.667,1.028,1.111,1.664,0.776
202,Fairfield,1,0.664,0.949,0.930,1.402,0.822
203,UNCW,1,0.662,1.067,0.711,1.074,0.982
204,Bryant,1,0.659,1.048,0.798,1.212,0.936
205,Bowling Green,1,0.657,0.963,0.739,1.125,0.960
206,Green Bay,1,0.656,0.983,0.878,1.339,0.937
207,South Dakota St.,1,0.654,1.050,0.903,1.381,0.978
208,Fairleigh Dickinson,1,0.653,0.993,0.800,1.225,0.869
208,Manhattan,1,0.653,0.936,0.802,1.229,0.750
210,Eastern Mich.,1,0.650,1.006,0.913,1.404,0.995
211,East Tenn. St.,1,0.648,0.998,0.950,1.466,1.011
212,Abilene Christian,1,0.643,1.098,0.967,1.504,0.959
213,Cornell,1,0.628,1.060,0.949,1.510,0.831
214,Marist,1,0.614,0.918,0.862,1.404,0.729
215,St. Bonaventure,1,0.611,0.970,0.863,1.413,0.914
216,Loyola Chicago,1,0.601,0.959,0.786,1.307,0.984
217,Monmouth,1,0.600,0.966,0.938,1.564,0.841
218,Brown,1,0.583,1.107,0.655,1.124,0.908
219,Evansville,1,0.581,1.013,0.910,1.566,1.030
220,Buffalo,1,0.572,1.045,0.854,1.492,1.001
221,Radford,1,0.570,1.026,0.956,1.678,0.979
222,Army West Point,1,0.568,0.936,0.857,1.509,0.870
223,Morehead St.,1,0.564,0.957,0.717,1.271,0.892
224,Massachusetts,1,0.560,0.969,0.760,1.357,0.968
225,Siena,1,0.551,0.969,0.766,1.390,0.763
226,Texas Southern,1,0.548,0.983,0.781,1.426,0.744
227,Gardner-Webb,1,0.547,1.048,0.835,1.525,0.930
228,UMass Lowell,1,0.528,1.020,0.716,1.356,0.903
229,Houston Baptist,1,0.527,0.895,0.806,1.529,0.952
230,Columbia,1,0.514,0.920,0.675,1.314,0.883
231,UMBC,1,0.507,0.999,0.698,1.377,0.794
232,Florida A&M,1,0.502,1.009,0.698,1.389,0.930
233,Jackson St.,1,0.500,1.044,0.791,1.582,0.771
234,Belmont,1,0.497,0.992,0.694,1.396,0.958
235,Iona,1,0.492,0.971,0.718,1.460,0.843
236,Alabama St.,1,0.490,1.067,0.767,1.565,0.771
237,Sacred Heart,1,0.489,0.917,0.561,1.147,0.901
238,Hampton,1,0.486,0.971,0.635,1.307,0.741
239,Detroit,1,0.475,1.102,0.807,1.699,0.943
240,Northern Ky.,1,0.467,1.115,0.804,1.720,1.008
241,Austin Peay,1,0.452,1.010,0.855,1.891,0.951
242,Incarnate Word,1,0.427,0.938,0.651,1.523,0.889
243,Holy Cross,1,0.426,0.924,0.722,1.692,0.828
244,North Dakota,1,0.424,0.929,0.799,1.885,0.987
245,Delaware St.,1,0.410,0.905,0.766,1.867,0.718
246,Quinnipiac,1,0.380,1.017,0.610,1.602,0.809
247,N.C. Central,1,0.370,1.056,0.619,1.673,0.770
248,Tennessee St.,1,0.366,0.951,0.687,1.876,0.929
249,Mississippi Val.,1,0.363,1.018,0.692,1.905,0.875
250,Rider,1,0.331,1.066,0.584,1.762,0.772
251,Mt. St. Mary's,1,0.329,0.970,0.616,1.873,0.886
252,Southern U.,1,0.318,1.020,0.482,1.515,0.672
253,Alabama A&M,1,0.316,1.061,0.647,2.051,0.638
254,Howard,1,0.307,1.027,0.706,2.295,0.694
255,Rhode Island,1,0.296,1.017,0.634,2.141,0.925
256,N.C. A&T,1,0.295,1.030,0.575,1.950,0.753
257,Norfolk St.,1,0.292,1.070,0.527,1.804,0.690
258,IPFW,1,0.277,0.957,0.508,1.837,1.108
259,Lafayette,1,0.263,1.055,0.456,1.738,0.890
260,Prairie View,1,0.254,1.076,0.624,2.461,0.706
261,South Carolina St.,1,0.241,0.993,0.529,2.198,0.699
262,Grambling,1,0.235,1.048,0.509,2.166,0.708
263,Morgan St.,1,0.233,1.062,0.512,2.193,0.726
264,Niagara,1,0.222,0.999,0.435,1.957,0.825
265,Saint Peter's,1,0.218,1.066,0.549,2.514,0.806
266,Hartford,1,0.211,0.987,0.482,2.279,0.869
267,Ark.-Pine Bluff,1,0.203,1.048,0.526,2.590,0.802
268,UMES,1,0.186,1.056,0.461,2.482,0.657
269,Coppin St.,1,0.164,1.030,0.474,2.900,0.724
270,Alcorn,1,0.159,0.986,0.466,2.928,0.787
