year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2013	11300	3	11324	Agnes Scott	23	1320171	McKibbin, Aimee	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1320171	So	OF	31	29	29	36	3	4	0.907	 	 	 	 	 	 
2013	11300	3	11324	Agnes Scott	15	1111552	Ennis, Melanie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1111552	Sr	OF	31	31	31	38	6	3	0.936	 	 	 	 	 	 
2013	11300	3	11324	Agnes Scott	1	1320167	Riale, Kat	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1320167	So	C	30	27	27	90	28	3	0.975	 	4	31	12	 	 
2013	11300	3	11324	Agnes Scott	2	1320173	Snipes, Megan	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1320173	So	DP	29	27	27	37	54	9	0.910	 	 	 	 	 	 
2013	11300	3	11324	Agnes Scott	12	1320170	Cain, Tiffany	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1320170	So	RP	29	22	22	48	29	1	0.987	 	 	17	2	1	 
2013	11300	3	11324	Agnes Scott	16	1425898	Arnold, Casey	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1425898	Fr	SS	27	19	19	5	26	5	0.861	 	 	13	9	 	 
2013	11300	3	11324	Agnes Scott	14	1320179	Blattner, Julia	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1320179	So	SP/RP	22	14	14	8	11	1	0.950	 	 	9	3	 	 
2013	11300	3	11324	Agnes Scott	10	1320169	Giusti, Alex	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1320169	So	INF	21	5	5	41	 	1	0.976	 	 	 	 	 	 
2013	11300	3	11324	Agnes Scott	17	1320181	Encarnacion, Yaritza	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1320181	So	OF	21	9	9	6	 	1	0.857	 	 	 	 	 	 
2013	11300	3	11324	Agnes Scott	7	1320175	Ward, Jenna	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1320175	So	C	11	10	10	18	1	3	0.864	 	 	8	1	 	 
2013	11300	3	2798	Albertus Magnus	17	1422712	Lopez, Isabelle	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1422712	Fr	INF	36	36	36	41	25	11	0.857	 	 	 	 	 	 
2013	11300	3	2798	Albertus Magnus	33	1300703	Urciuoli, Brittney	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1300703	So	OF	36	35	35	58	2	2	0.968	 	 	 	 	 	 
2013	11300	3	2798	Albertus Magnus	7	1300700	Maio, Elaina	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1300700	So	C	35	33	33	68	59	8	0.941	 	8	16	3	4	 
2013	11300	3	2798	Albertus Magnus	8	1422711	Hribko, Veronica	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1422711	Fr	OF	35	35	35	51	36	10	0.897	 	 	 	 	3	 
2013	11300	3	2798	Albertus Magnus	15	1422713	Puccilli, Alyssa	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1422713	Fr	OF	35	35	35	66	46	9	0.926	 	 	 	 	6	 
2013	11300	3	2798	Albertus Magnus	5	1422709	Gonzales, Gilmary	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1422709	Fr	INF	32	27	27	80	13	7	0.930	 	4	12	2	1	 
2013	11300	3	2798	Albertus Magnus	6	1111980	Figueroa, Danielle	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1111980	Sr	INF	32	32	32	82	56	8	0.945	 	 	 	 	10	 
2013	11300	3	2798	Albertus Magnus	13	1447551	Medina, Jackie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1447551	Fr	SP	31	26	26	20	40	5	0.923	 	 	40	7	3	 
2013	11300	3	2798	Albertus Magnus	1	1422714	Vecsiglio, Jamie	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1422714	Jr	INF	31	28	28	74	7	4	0.953	 	8	26	5	1	 
2013	11300	3	2798	Albertus Magnus	23	1300702	Mirto, Aimee	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1300702	So	1B	28	24	24	111	4	 	1.000	 	 	 	 	5	 
2013	11300	3	2798	Albertus Magnus	4	1422707	Barillaro, Michelle	http://stats.ncaa.org/player?game_sport_year_ctl_id=11300&stats_player_seq=1422707	Fr	INF	25	8	8	12	2	2	0.875	 	1	 	1	 	 
