game_id	section_id	team_id	team_name	team_url	period_scores
3848115	0	197	East Stroudsburg		[0, 0, 0, 4, 0, 0, 0, 4, 7, 0]
3848115	1	360	Lock Haven		[0, 0, 0, 0, 0, 0, 0, 0, 4, 1]
3824714	0	30151	Shorter		[0, 2, 0, 0, 0, 0, 0, 2, 6, 2]
3824714	1	30013	Lee		[0, 0, 0, 0, 0, 3, 0, 3, 5, 1]
3800633	0	93	Cal St. San B'dino		[0, 0, 0, 0, 0, 0, 1, 0]
3800633	1	645	Sonoma St.		[0, 0, 1, 0, 4, 5, 7, 0]
3817991	0	1071	Emporia St.		[0, 0, 0, 4, 2, 0, 1, 7, 8, 2]
3817991	1	30054	Newman		[0, 0, 1, 0, 1, 4, 3, 9, 12, 1]
3799019	0		Mobile		[1, 0, 0, 0, 0, 0, 0, 1, 2, 6, 0]
3799019	1	30191	Spring Hill		[0, 0, 1, 0, 0, 0, 0, 4, 5, 11, 3]
3871229	0	35	Ashland		[0, 0, 0, 0, 1, 1, 1, 3, 3, 3]
3871229	1	309	Indianapolis		[0, 0, 0, 3, 4, 0, 0, 7, 8, 3]
3846276	0	65	Bloomsburg		[0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
3846276	1	339	Kutztown		[0, 0, 1, 0, 2, 0, 0, 3, 7, 0]
3827078	0	13302	Lees-McRae		[0, 0, 0, 0, 0, 0, 0, 0]
3827078	1	1072	Erskine		[4, 0, 0, 5, 0, 9, 9, 0]
3862637	0	345	Lake Superior St.		[0, 0, 0, 0, 0, 1, 1, 2, 3, 1]
3862637	1	35	Ashland		[0, 2, 1, 0, 4, 0, 0, 7, 9, 2]
3817412	0	11403	Colo. Christian		[0, 0, 2, 0, 0, 0, 0, 2, 4, 3]
3817412	1	568	Regis (CO)		[3, 0, 1, 0, 4, 0, 0, 8, 12, 0]
3820471	0	537	UNC Pembroke		[1, 0, 1, 0, 0, 1, 1, 2, 6, 9, 1]
3820471	1		St. Andrews		[0, 0, 0, 2, 2, 0, 0, 0, 4, 10, 1]
3813701	0	510	Northwood (MI)		[0, 2, 1, 0, 3, 3, 0, 9, 15, 1]
3813701	1	8736	Southwest Minn. St.		[0, 0, 0, 0, 0, 2, 1, 3, 7, 1]
3824362	0	52	Bellarmine		[0, 0, 1, 0, 3, 0, 1, 5, 9, 0]
3824362	1	1057	Drury		[0, 0, 0, 0, 0, 0, 0, 0, 2, 1]
3810364	0	33	Armstrong		[0, 0, 3, 0, 1, 1, 1, 6, 9, 2]
3810364	1	159	Columbus St.		[0, 1, 0, 1, 0, 2, 0, 4, 7, 0]
3863274	0	12810	Northeastern St.		[0, 0, 0, 0, 0, 0, 0, 0, 3, 0]
3863274	1	1314	Pittsburg St.		[0, 0, 0, 1, 0, 0, 0, 1, 6, 1]
