year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	app	gs2	era	ip	h	r	er	bb	so	sho	bf	p_oab	d_allowed	t_allowed	hr_allowed	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2017	12580	30093	AUM	-	Totals	-	-	-	-	""	""	2.75	287.1	262	150	113	151	230	6	1311	1098	41	5	15	""	31	""	22	53	""	""	""	""	33	7	""	248	349	""	""	""
2017	12580	30093	AUM	-	Opponent Totals	-	-	-	-	""	""	4.15	283.2	326	227	168	134	188	2	1354	1121	68	4	35	""	19	1	25	43	""	""	""	""	59	10	4	309	323	""	""	""
2017	12580	30123	Academy of Art	-	Totals	-	-	-	-	""	""	5.07	316.0	372	269	229	200	187	4	1566	1301	60	10	35	""	51	1	29	54	5	""	""	""	25	11	""	333	394	""	""	""
2017	12580	30123	Academy of Art	-	Opponent Totals	-	-	-	-	""	""	3.78	313.0	409	241	169	98	104	7	1477	1298	82	7	6	""	20	""	28	20	""	""	""	""	37	11	5	443	320	""	""	""
2017	12580	929	Adams St.	-	Totals	-	-	-	-	""	""	6.27	312.2	467	348	280	164	204	3	1612	1378	78	21	42	""	27	""	31	74	""	""	""	""	25	14	""	389	304	""	""	""
2017	12580	929	Adams St.	-	Opponent Totals	-	-	-	-	""	""	4.80	321.0	398	253	220	113	196	8	1515	1321	73	12	44	""	9	1	35	63	""	""	""	""	35	11	""	429	290	""	""	""
2017	12580	3	Adelphi	-	Totals	-	-	-	-	""	""	2.59	360.0	344	175	133	123	200	13	1616	1412	66	8	18	""	9	""	34	68	11	""	""	""	36	11	""	477	361	""	""	""
2017	12580	3	Adelphi	-	Opponent Totals	-	-	-	-	""	""	4.83	351.0	434	293	242	173	207	5	1702	1467	78	23	39	""	32	1	22	63	8	""	""	""	20	20	""	367	439	""	""	""
2017	12580	10	Ala.-Huntsville	-	Totals	-	-	-	-	""	""	2.26	387.2	362	161	125	70	334	14	1615	1499	54	5	16	""	18	""	11	47	1	""	""	""	29	6	""	434	352	""	""	""
2017	12580	10	Ala.-Huntsville	-	Opponent Totals	-	-	-	-	""	""	5.04	372.1	483	350	268	221	167	6	1888	1557	95	9	48	""	28	""	36	42	5	""	""	""	59	14	1	448	464	""	""	""
2017	12580	13	Albany St. (GA)	-	Totals	-	-	-	-	""	""	3.54	286.1	313	253	145	149	163	6	1393	1149	52	12	18	""	33	1	46	39	""	""	""	""	31	18	""	339	298	""	""	""
2017	12580	13	Albany St. (GA)	-	Opponent Totals	-	-	-	-	""	""	5.94	282.2	441	353	240	155	175	6	1502	1277	82	11	57	""	30	""	23	42	3	""	""	""	34	13	""	296	332	""	""	""
2017	12580	934	Alderson Broaddus	-	Totals	-	-	-	-	""	""	6.23	253.0	370	264	225	121	48	4	1307	1057	79	10	16	""	58	""	63	17	""	""	""	""	44	22	""	359	301	""	""	""
2017	12580	934	Alderson Broaddus	-	Opponent Totals	-	-	-	-	""	""	2.98	263.0	287	133	112	69	151	8	1166	1037	52	7	8	""	22	""	19	26	1	""	""	""	36	4	1	356	244	""	""	""
2017	12580	22	American Int'l	-	Totals	-	-	-	-	""	""	3.03	256.1	282	143	111	86	137	6	1163	1040	32	15	8	""	9	""	9	46	""	""	""	""	23	4	1	351	253	""	""	""
2017	12580	22	American Int'l	-	Opponent Totals	-	-	-	-	""	""	1.61	265.1	230	96	61	78	208	8	1129	1009	38	3	6	""	18	""	17	53	""	""	""	""	24	1	""	301	255	""	""	""
2017	12580	13028	Anderson (SC)	-	Totals	-	-	-	-	""	""	2.78	327.0	301	165	130	110	281	11	1421	1251	54	7	30	""	19	1	17	90	""	""	""	""	33	10	""	282	385	""	""	""
2017	12580	13028	Anderson (SC)	-	Opponent Totals	-	-	-	-	""	""	4.88	318.2	404	279	222	149	224	1	1555	1340	61	5	47	""	28	3	30	58	6	""	""	""	24	12	""	364	332	""	""	""
2017	12580	25	Angelo St.	-	Totals	-	-	-	-	""	""	1.47	452.0	310	121	95	123	467	22	1832	1639	36	5	20	""	31	""	27	93	5	""	""	""	38	5	""	456	396	""	""	""
2017	12580	25	Angelo St.	-	Opponent Totals	-	-	-	-	""	""	5.57	421.1	526	411	335	250	261	3	2134	1717	89	8	67	""	31	10	88	91	1	""	""	""	63	15	1	473	461	""	""	""
2017	12580	8411	Ark.-Monticello	-	Totals	-	-	-	-	""	""	2.31	390.2	360	156	129	96	237	12	1651	1483	74	11	16	""	8	""	27	60	""	""	""	""	40	5	""	456	430	""	""	""
2017	12580	8411	Ark.-Monticello	-	Opponent Totals	-	-	-	-	""	""	3.24	379.2	394	218	176	132	254	13	1716	1531	59	8	45	""	18	1	23	74	1	""	""	""	20	10	""	377	477	""	""	""
2017	12580	947	Arkansas Tech	-	Totals	-	-	-	-	""	""	1.79	433.2	313	134	111	160	512	16	1807	1564	45	6	14	""	24	""	38	126	""	""	""	""	41	4	""	405	345	""	""	""
2017	12580	947	Arkansas Tech	-	Opponent Totals	-	-	-	-	""	""	2.82	424.0	453	207	171	148	275	5	1905	1667	77	9	28	""	21	1	29	77	""	""	""	""	54	7	""	485	459	""	""	""
2017	12580	33	Armstrong St.	-	Totals	-	-	-	-	""	""	2.18	355.2	292	156	111	100	196	11	1507	1339	44	4	20	""	17	3	32	56	""	""	""	""	26	10	""	527	300	""	""	""
2017	12580	33	Armstrong St.	-	Opponent Totals	-	-	-	-	""	""	5.41	343.0	455	313	265	148	229	1	1688	1467	63	7	85	""	20	1	51	53	2	""	""	""	15	7	""	336	426	""	""	""
2017	12580	35	Ashland	-	Totals	-	-	-	-	""	""	2.86	372.2	418	187	152	108	173	6	1665	1463	73	11	13	""	20	""	33	59	""	""	""	""	46	14	1	479	413	""	""	""
2017	12580	35	Ashland	-	Opponent Totals	-	-	-	-	""	""	3.04	370.2	429	204	161	89	155	3	1665	1472	62	6	14	""	22	""	15	48	3	""	""	""	78	11	""	501	401	""	""	""
2017	12580	36	Assumption	-	Totals	-	-	-	-	""	""	3.20	249.1	283	153	114	92	146	5	1151	1001	54	10	4	""	12	""	10	56	""	""	""	""	41	7	""	288	286	""	""	""
2017	12580	36	Assumption	-	Opponent Totals	-	-	-	-	""	""	2.64	247.0	261	134	93	86	159	7	1144	980	54	8	7	""	11	""	39	46	""	""	""	""	28	10	""	301	255	""	""	""
2017	12580	39	Augusta	-	Totals	-	-	-	-	""	""	6.09	323.0	461	330	281	209	147	""	1667	1362	97	9	46	""	46	""	27	32	""	""	""	""	49	20	""	336	442	""	""	""
2017	12580	39	Augusta	-	Opponent Totals	-	-	-	-	""	""	1.96	340.0	289	123	95	126	233	11	1465	1248	45	3	16	""	23	""	30	49	""	""	""	""	55	6	""	407	345	""	""	""
2017	12580	41	Augustana (SD)	-	Totals	-	-	-	-	""	""	2.70	375.2	372	183	145	114	252	8	1651	1465	72	7	28	""	26	1	35	71	3	""	""	""	30	6	1	503	326	""	""	""
2017	12580	41	Augustana (SD)	-	Opponent Totals	-	-	-	-	""	""	4.78	363.1	541	331	248	90	183	1	1744	1605	90	4	54	""	14	1	21	40	1	""	""	""	20	8	""	443	405	""	""	""
2017	12580	30146	Azusa Pacific	-	Totals	-	-	-	-	""	""	2.05	338.1	284	149	99	140	179	13	1484	1261	34	4	11	""	28	3	36	61	1	""	""	""	36	10	1	429	361	""	""	""
2017	12580	30146	Azusa Pacific	-	Opponent Totals	-	-	-	-	""	""	3.60	334.1	424	242	172	104	152	2	1596	1415	67	5	18	""	17	1	30	28	5	""	""	""	32	15	""	454	355	""	""	""
2017	12580	2685	BYU-Hawaii	-	Totals	-	-	-	-	""	""	4.85	284.1	412	265	197	129	66	3	1406	1208	87	8	31	""	35	1	23	15	""	""	""	""	28	18	""	372	367	""	""	""
2017	12580	2685	BYU-Hawaii	-	Opponent Totals	-	-	-	-	""	""	2.48	284.2	279	136	101	100	190	9	1253	1113	54	3	7	""	24	2	22	57	""	""	""	""	12	6	""	365	260	""	""	""
2017	12580	49	Barry	-	Totals	-	-	-	-	""	""	3.78	338.2	389	241	183	160	160	3	1610	1361	61	7	18	""	14	1	21	46	""	""	""	""	51	16	1	416	394	""	""	""
2017	12580	49	Barry	-	Opponent Totals	-	-	-	-	""	""	3.81	340.1	408	236	185	125	163	6	1585	1382	58	8	28	""	19	""	11	53	5	""	""	""	56	11	""	378	441	""	""	""
2017	12580	15646	Barton	-	Totals	-	-	-	-	""	""	4.91	309.1	416	273	217	110	131	8	1508	1303	84	9	13	""	28	1	37	37	""	""	""	""	41	17	""	343	415	""	""	""
