year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2017	12580	36	Assumption	-	Totals	-	-	-	-	""	37	0.266	0.346	0.359	980	134	261	54	8	7	352	""	86	39	120	10	28	159	46	5	1	""	7	2	""	301	255
2017	12580	36	Assumption	-	Opponent Totals	-	-	-	-	""	37	0.283	0.347	0.369	1001	153	283	54	10	4	369	""	92	10	135	7	41	146	56	4	2	""	22	5	""	288	286
2017	12580	39	Augusta	-	Totals	-	-	-	-	""	52	0.232	0.316	0.311	1248	123	289	45	3	16	388	""	126	30	104	6	55	233	49	13	3	""	19	16	""	407	345
2017	12580	39	Augusta	-	Opponent Totals	-	-	-	-	""	52	0.338	0.431	0.524	1362	330	461	97	9	46	714	""	209	27	299	20	49	147	32	9	2	""	78	14	""	336	442
2017	12580	41	Augustana (SD)	-	Totals	-	-	-	-	""	56	0.337	0.378	0.499	1605	331	541	90	4	54	801	1	90	21	288	8	20	183	40	21	4	""	83	19	""	443	405
2017	12580	41	Augustana (SD)	-	Opponent Totals	-	-	-	-	""	56	0.254	0.322	0.370	1465	183	372	72	7	28	542	3	114	35	165	6	30	252	71	22	6	""	46	11	""	503	326
2017	12580	30146	Azusa Pacific	-	Totals	-	-	-	-	""	50	0.300	0.357	0.392	1415	242	424	67	5	18	555	5	104	30	208	15	32	152	28	8	6	""	67	20	""	454	355
2017	12580	30146	Azusa Pacific	-	Opponent Totals	-	-	-	-	""	50	0.225	0.318	0.285	1261	149	284	34	4	11	359	1	140	36	122	10	36	179	61	17	5	""	45	16	""	429	361
2017	12580	2685	BYU-Hawaii	-	Totals	-	-	-	-	""	43	0.251	0.323	0.323	1113	136	279	54	3	7	360	""	100	22	116	6	12	190	57	12	4	""	43	9	""	365	260
2017	12580	2685	BYU-Hawaii	-	Opponent Totals	-	-	-	-	""	43	0.341	0.409	0.503	1208	265	412	87	8	31	608	""	129	23	221	18	28	66	15	15	1	""	53	17	""	372	367
2017	12580	49	Barry	-	Totals	-	-	-	-	""	51	0.295	0.356	0.410	1382	236	408	58	8	28	566	5	125	11	202	11	56	163	53	18	3	""	84	11	""	378	441
2017	12580	49	Barry	-	Opponent Totals	-	-	-	-	""	51	0.286	0.366	0.381	1361	241	389	61	7	18	518	""	160	21	213	16	51	160	46	15	3	""	56	16	""	416	394
2017	12580	15646	Barton	-	Totals	-	-	-	-	""	51	0.275	0.336	0.338	1261	180	347	40	9	7	426	""	97	25	146	11	37	171	49	15	6	""	38	7	""	443	291
2017	12580	15646	Barton	-	Opponent Totals	-	-	-	-	""	51	0.319	0.384	0.427	1303	273	416	84	9	13	557	""	110	37	242	17	41	131	37	11	4	""	79	10	""	343	415
2017	12580	52	Bellarmine	-	Totals	-	-	-	-	""	56	0.281	0.358	0.383	1461	224	411	89	7	15	559	""	138	42	179	9	46	219	58	22	4	""	24	4	""	438	392
2017	12580	52	Bellarmine	-	Opponent Totals	-	-	-	-	""	56	0.318	0.358	0.475	1550	246	493	89	4	49	737	""	84	18	234	10	33	144	48	11	2	""	40	6	""	305	608
2017	12580	2683	Belmont Abbey	-	Totals	-	-	-	-	""	42	0.283	0.349	0.362	1096	161	310	40	4	13	397	""	83	32	142	6	34	128	46	13	6	""	54	17	""	351	305
2017	12580	2683	Belmont Abbey	-	Opponent Totals	-	-	-	-	""	42	0.329	0.422	0.453	1108	259	365	62	3	23	502	2	148	38	224	13	51	74	19	11	5	""	60	11	""	308	383
2017	12580	54	Bemidji St.	-	Totals	-	-	-	-	""	47	0.312	0.359	0.426	1300	212	405	71	6	22	554	""	94	9	189	11	5	182	49	27	14	""	15	3	""	334	336
2017	12580	54	Bemidji St.	-	Opponent Totals	-	-	-	-	""	47	0.252	0.282	0.347	1208	145	305	65	8	11	419	""	41	11	127	6	20	342	93	8	3	""	45	4	""	258	278
2017	12580	55	Benedict	-	Totals	-	-	-	-	""	50	0.349	0.424	0.547	1337	479	467	87	47	28	732	""	154	35	376	20	17	218	45	14	2	""	176	10	""	289	280
2017	12580	55	Benedict	-	Opponent Totals	-	-	-	-	""	50	0.323	0.402	0.506	1293	382	417	81	12	44	654	2	140	43	324	15	14	132	41	22	3	""	74	12	""	337	340
2017	12580	56	Bentley	-	Totals	-	-	-	-	""	36	0.224	0.280	0.274	937	89	210	21	13	""	257	""	68	7	77	5	24	125	39	13	7	""	18	""	""	307	268
2017	12580	56	Bentley	-	Opponent Totals	-	-	-	-	""	36	0.273	0.342	0.396	959	167	262	37	9	21	380	""	81	25	141	10	32	145	37	10	3	""	41	4	""	275	263
2017	12580	30220	Biola	-	Totals	-	-	-	-	""	6	0.256	0.322	0.319	160	19	41	8	1	""	51	""	12	4	16	1	4	35	8	""	""	""	10	3	""	49	35
2017	12580	30220	Biola	-	Opponent Totals	-	-	-	-	""	6	0.200	0.314	0.247	150	18	30	4	0	1	37	""	23	2	10	""	4	21	5	1	1	""	13	2	""	60	36
2017	12580	30134	Black Hills St.	-	Totals	-	-	-	-	""	44	0.250	0.295	0.326	1077	114	269	37	6	11	351	""	58	14	104	5	25	212	80	19	4	""	36	12	""	335	251
2017	12580	30134	Black Hills St.	-	Opponent Totals	-	-	-	-	""	44	0.346	0.427	0.499	1165	287	403	66	11	30	581	""	150	24	261	12	36	150	58	5	2	""	102	10	""	362	251
2017	12580	984	Bloomfield	-	Totals	-	-	-	-	""	43	0.278	0.334	0.406	1171	173	326	56	9	25	475	""	85	16	160	6	35	181	48	10	3	""	22	6	""	368	283
2017	12580	984	Bloomfield	-	Opponent Totals	-	-	-	-	""	43	0.248	0.327	0.341	1111	156	275	42	4	18	379	""	114	21	146	7	19	271	64	7	1	""	40	18	""	281	266
2017	12580	65	Bloomsburg	-	Totals	-	-	-	-	""	51	0.298	0.350	0.422	1397	236	416	79	1	31	590	""	105	12	214	9	32	191	43	9	6	""	13	""	""	382	397
2017	12580	65	Bloomsburg	-	Opponent Totals	-	-	-	-	""	51	0.219	0.289	0.324	1253	153	274	50	5	24	406	1	100	28	137	8	45	333	80	4	3	""	26	8	""	309	331
2017	12580	985	Bluefield St.	-	Totals	-	-	-	-	""	32	0.178	0.231	0.242	629	51	112	21	2	5	152	1	36	8	38	1	2	206	72	4	3	""	6	1	""	167	126
2017	12580	985	Bluefield St.	-	Opponent Totals	-	-	-	-	""	32	0.417	0.546	0.633	829	463	346	92	15	19	525	""	211	38	372	12	9	96	23	1	""	""	150	3	""	152	169
2017	12580	70	Bowie St.	-	Totals	-	-	-	-	""	42	0.296	0.350	0.432	1133	212	335	58	15	22	489	""	85	12	184	5	13	202	39	11	3	""	30	6	""	333	216
2017	12580	70	Bowie St.	-	Opponent Totals	-	-	-	-	""	42	0.284	0.328	0.412	1140	194	324	70	20	12	470	1	64	17	173	12	22	205	48	4	1	""	83	6	""	292	296
2017	12580	30094	Brevard	-	Totals	-	-	-	-	""	19	0.241	0.324	0.342	398	53	96	15	8	3	136	""	40	10	47	3	10	109	28	2	1	""	29	2	""	100	94
2017	12580	30094	Brevard	-	Opponent Totals	-	-	-	-	""	19	0.405	0.465	0.601	496	188	201	41	10	12	298	""	46	18	157	10	11	26	9	2	""	""	41	""	""	146	116
2017	12580	74	Bridgeport	-	Totals	-	-	-	-	""	45	0.271	0.333	0.373	1219	192	330	59	9	16	455	""	103	15	162	8	47	210	62	13	4	""	46	8	""	375	299
2017	12580	74	Bridgeport	-	Opponent Totals	-	-	-	-	""	45	0.268	0.340	0.384	1197	183	321	61	6	22	460	2	106	29	159	10	35	205	53	18	7	""	24	4	""	321	334
2017	12580	92	Cal St. Dom. Hills	-	Totals	-	-	-	-	""	53	0.265	0.353	0.355	1342	171	356	57	3	19	476	""	145	42	147	10	34	168	48	22	10	""	23	2	""	388	430
2017	12580	92	Cal St. Dom. Hills	-	Opponent Totals	-	-	-	-	""	53	0.393	0.459	0.596	1530	445	602	111	17	55	912	""	176	26	389	21	46	90	32	10	4	""	117	10	""	428	422
2017	12580	98	Cal St. East Bay	-	Totals	-	-	-	-	""	52	0.291	0.380	0.424	1398	275	407	64	1	40	593	3	155	51	239	9	37	155	49	11	4	""	38	6	""	439	388
2017	12580	98	Cal St. East Bay	-	Opponent Totals	-	-	-	-	""	52	0.281	0.361	0.368	1368	212	385	44	6	21	504	""	143	33	177	11	38	156	75	23	11	""	73	16	""	438	378
2017	12580	30055	Cal St. Monterey Bay	-	Totals	-	-	-	-	""	56	0.345	0.411	0.491	1514	335	523	76	15	38	743	2	147	31	299	12	42	161	54	24	8	""	45	10	""	459	357
2017	12580	30055	Cal St. Monterey Bay	-	Opponent Totals	-	-	-	-	""	56	0.248	0.345	0.340	1342	166	333	51	3	22	456	2	157	46	149	7	50	206	42	22	7	""	46	8	""	461	367
2017	12580	93	Cal St. San B'dino	-	Totals	-	-	-	-	""	59	0.281	0.365	0.393	1556	242	438	71	5	31	612	2	174	40	214	16	38	197	63	22	6	""	71	15	""	512	399
2017	12580	93	Cal St. San B'dino	-	Opponent Totals	-	-	-	-	""	59	0.267	0.313	0.371	1556	166	415	60	8	29	578	3	82	25	146	3	44	234	62	14	5	""	54	17	""	470	440
2017	12580	30198	Cal St. San Marcos	-	Totals	-	-	-	-	""	48	0.231	0.290	0.274	1184	108	274	25	4	6	325	""	83	15	90	""	42	197	55	24	4	""	40	17	""	470	251
2017	12580	30198	Cal St. San Marcos	-	Opponent Totals	-	-	-	-	""	48	0.293	0.398	0.395	1247	218	365	39	10	23	493	""	154	71	191	9	43	154	68	19	4	""	70	20	""	343	388
2017	12580	995	Caldwell	-	Totals	-	-	-	-	""	60	0.323	0.412	0.440	1551	355	501	96	11	21	682	""	194	58	315	26	54	154	51	19	4	""	46	16	""	459	447
2017	12580	995	Caldwell	-	Opponent Totals	-	-	-	-	""	60	0.239	0.308	0.345	1477	175	353	78	11	19	510	""	134	17	157	6	38	324	108	30	8	""	30	10	""	473	312
2017	12580	106	California (PA)	-	Totals	-	-	-	-	""	39	0.301	0.362	0.389	1094	166	329	47	1	16	426	""	99	12	155	9	44	117	49	4	1	""	22	""	""	349	301
2017	12580	106	California (PA)	-	Opponent Totals	-	-	-	-	""	39	0.268	0.313	0.361	1029	138	276	41	6	14	371	""	59	12	120	9	38	209	37	6	1	""	25	8	""	240	311
2017	12580	30135	California Baptist	-	Totals	-	-	-	-	""	49	0.311	0.387	0.498	1355	280	422	89	7	50	675	2	136	44	258	19	15	160	41	12	6	1	34	2	""	308	446
