game_id	section_id	team_id	team_name	team_url	period_scores
3863392	0	122	Case		[0, 1, 0, 0, 0, 0, 0, 1, 3, 1]
3863392	1	19	Allegheny		[0, 0, 0, 0, 0, 0, 0, 0, 5, 1]
3838092	0	266	Gust. Adolphus		[1, 0, 2, 3, 1, 0, 1, 8, 14, 0]
3838092	1	595	Saint Benedict		[0, 0, 0, 0, 0, 0, 0, 0, 4, 0]
3854611	0	28749	Transylvania		[1, 0, 0, 1, 0, 0, 0, 2, 6, 1]
3854611	1	1192	Manchester		[2, 1, 1, 0, 0, 0, 0, 4, 7, 1]
3851002	0	177	DePauw		[0, 0, 0, 0, 4, 0, 0, 4, 5, 0]
3851002	1	520	Ohio Wesleyan		[0, 0, 0, 1, 0, 1, 0, 2, 6, 2]
3833795	0	123	Castleton		[1, 0, 3, 0, 0, 0, 0, 4, 8, 1]
3833795	1	642	Skidmore		[0, 0, 2, 0, 1, 0, 0, 3, 6, 1]
3813522	0	9500	SUNY Poly		[2, 0, 0, 0, 0, 3, 0, 5, 9, 3]
3813522	1	730	Ursinus		[1, 3, 3, 0, 2, 3, 0, 12, 14, 1]
3812428	0	1332	Dominican (IL)		[2, 2, 0, 0, 0, 0, 0, 4, 10, 2]
3812428	1	605	St. Joseph's (ME)		[1, 0, 3, 0, 0, 0, 1, 5, 6, 1]
3834755	0	216	Emory & Henry		[1, 5, 0, 0, 3, 2, 2, 13, 19, 1]
3834755	1	75	Bridgewater (VA)		[3, 1, 0, 0, 0, 0, 2, 6, 12, 2]
3851808	0	784	Wilkes		[0, 0, 0, 0, 1, 2, 0, 3, 9, 1]
3851808	1	336	King's (PA)		[0, 5, 0, 0, 0, 0, 0, 5, 7, 1]
3834201	0	781	Whittier		[4, 1, 0, 1, 0, 0, 1, 0, 7, 10, 3]
3834201	1	549	Pomona-Pitzer		[2, 0, 0, 0, 2, 0, 3, 1, 8, 16, 0]
3812746	0	319	New Jersey City		[0, 0, 0, 0, 0, 0, 0, 4, 1]
3812746	1	1315	Pitt.-Bradford		[3, 2, 0, 0, 2, 1, 8, 8, 1]
3847673	0	330	Keene St.		[0, 0, 0, 3, 0, 0, 0, 3, 3, 3]
3847673	1	656	UMass Dartmouth		[0, 0, 0, 0, 0, 2, 0, 2, 3, 1]
3858918	0	753	Washington Col.		[0, 0, 2, 1, 0, 0, 3, 6, 2]
3858918	1	622	Salisbury		[2, 1, 0, 6, 0, 2, 11, 10, 0]
3854670	0	30037	Trine		[3, 11, 3, 1, 0, 18, 19, 0]
3854670	1	15	Albion		[0, 0, 1, 0, 0, 1, 2, 4]
3821476	0	795	Wis.-La Crosse		[0, 4, 0, 5, 0, 9, 11, 0]
3821476	1	1066	Edgewood		[0, 0, 0, 0, 0, 0, 2, 2]
3843375	0	30039	North Central (MN)		[0, 0, 0, 0, 0, 0, 1, 5]
3843375	1	1267	Northland		[2, 1, 4, 6, 0, 13, 12, 0]
3864685	0	45	Babson		[0, 0, 0, 0, 0, 3, 1, 4, 9, 2]
3864685	1	808	WPI		[2, 0, 1, 1, 0, 0, 1, 5, 9, 0]
3818766	0	18422	Rivier		[2, 4, 1, 0, 0, 3, 0, 10, 13, 5]
3818766	1	958	Summit		[4, 0, 0, 1, 0, 0, 0, 5, 7, 0]
3821514	0	30163	Sarah Lawrence		[0, 0, 0, 0, 0, 0, 2, 4]
3821514	1	30067	Morrisville St.		[2, 3, 3, 1, 0, 9, 7, 1]
3856401	0	751	Wash. & Jeff.		[0, 2, 1, 0, 0, 1, 0, 4, 11, 2]
3856401	1	265	Grove City		[0, 0, 0, 0, 0, 0, 5, 5, 10, 2]
3845755	0	145	Clark (MA)		[0, 0, 3, 0, 0, 0, 0, 3, 5, 4]
3845755	1	722	Coast Guard		[1, 0, 0, 5, 1, 0, 0, 7, 7, 4]
3812197	0	25719	Penn St.-Altoona		[2, 0, 0, 4, 0, 0, 1, 7, 11, 2]
3812197	1	412	Methodist		[0, 0, 1, 0, 2, 0, 0, 3, 9, 2]
3835277	0	750	Wartburg		[0, 2, 0, 0, 0, 0, 0, 2, 4, 0]
3835277	1	192	Dubuque		[0, 1, 0, 0, 0, 1, 1, 3, 8, 0]
3811638	0	396	Maryville (TN)		[0, 1, 0, 0, 0, 1, 2, 2, 2]
3811638	1	44	Averett		[0, 3, 0, 4, 1, 2, 10, 13, 1]
3834587	0	544	Pine Manor		[0, 0, 0, 2, 0, 2, 1, 4]
3834587	1	2691	Daniel Webster		[5, 2, 1, 3, 0, 11, 3, 2]
3851731	0	805	Wis.-Whitewater		[0, 0, 0, 1, 0, 0, 1, 2, 4, 1]
3851731	1	798	Wis.-Oshkosh		[0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
3845385	0	151	Colby		[1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4]
3845385	1	50	Bates		[0, 0, 1, 0, 0, 0, 0, 1, 2, 6, 0]
3850690	0	11839	Pitt.-Greensburg		[0, 0, 0, 1, 0, 0, 1, 2, 6, 1]
3850690	1	30036	Mount Aloysius		[1, 0, 0, 0, 3, 0, 0, 4, 6, 0]
3857032	0	675	Staten Island		[4, 9, 8, 1, 0, 22, 17, 1]
3857032	1	58	Baruch		[0, 0, 0, 0, 0, 0, 1, 6]
3826222	0	1267	Northland		[4, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 4]
3826222	1	20220	MSOE		[0, 1, 0, 0, 2, 0, 1, 0, 1, 5, 10, 2]
3845710	0	467	New England Col.		[3, 0, 2, 0, 0, 1, 0, 6, 8, 2]
3845710	1	324	Johnson St.		[1, 0, 2, 0, 2, 0, 0, 5, 8, 3]
3775884	0		Huston-Tillotson		[2, 0, 1, 1, 0, 0, 0, 4, 6, 2]
3775884	1	2741	Howard Payne		[1, 4, 0, 0, 2, 0, 0, 7, 11, 2]
3833458	0	673	Springfield		[0, 0, 0, 2, 5, 3, 10, 14, 0]
3833458	1	214	Emerson		[2, 0, 0, 0, 0, 0, 2, 4, 6]
3839613	0	637	Shenandoah		[2, 1, 0, 3, 0, 0, 0, 6, 8, 3]
