year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	position	gp	gs	g	ba	obp	slg	ab	r	h	d	t	tb	hr	rbi	bb	hbp	sf	sh	k	dp	sb	cs	picked
2016	12381	2	929	Adams St.	26	1539424	Harmon, Marissa	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12381&stats_player_seq=1539424	Jr	C	50	43	50	43	0.382	0.416	0.701	144	25	55	12	2	10	1	8	1	38	1	""	17	""	2	2	""	1	""	""	29	38
2016	12381	2	929	Adams St.	7	1539433	Reichmuth, Paige	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12381&stats_player_seq=1539433	Jr	INF	49	49	49	49	0.301	0.333	0.353	153	20	46	1	2	1	""	8	""	14	1	10	20	9	""	""	""	10	1	""	69	23
2016	12381	2	929	Adams St.	14	1539423	Griego, Gaby	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12381&stats_player_seq=1539423	Jr	2B	48	44	48	44	0.289	0.370	0.637	135	30	39	9	1	12	""	13	5	33	1	2	36	5	1	""	""	""	""	""	17	41
2016	12381	2	929	Adams St.	33	1539426	Johnson, Kalin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12381&stats_player_seq=1539426	Jr	OF	48	45	48	45	0.282	0.317	0.372	156	30	44	""	7	""	""	6	2	15	""	3	18	4	4	""	""	15	3	""	50	38
2016	12381	2	929	Adams St.	11	1643307	Quintana, Alexandria	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12381&stats_player_seq=1643307	Jr	OF	47	32	47	32	0.258	0.299	0.290	62	18	16	2	""	""	""	3	1	9	1	5	8	3	""	""	""	8	1	""	27	15
2016	12381	2	929	Adams St.	15	1764885	Hays, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12381&stats_player_seq=1764885	Fr	INF	47	45	47	45	0.311	0.340	0.526	135	20	42	6	4	5	""	6	1	24	2	""	17	3	4	""	""	10	4	""	31	44
2016	12381	2	929	Adams St.	8	1643305	Riggins, April	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12381&stats_player_seq=1643305	So	3B	46	34	46	34	0.330	0.415	0.476	103	14	34	10	1	1	""	12	3	19	""	1	16	6	1	""	""	""	2	""	24	29
2016	12381	2	929	Adams St.	10	1764883	VanHoose, Sheridan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12381&stats_player_seq=1764883	Fr	INF	41	18	41	18	0.234	0.308	0.319	47	10	11	1	""	1	""	1	4	2	""	4	19	3	1	""	""	7	3	""	15	4
2016	12381	2	929	Adams St.	22	1764889	Hamilton, Cheyenne	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12381&stats_player_seq=1764889	Fr	OF	39	34	39	34	0.263	0.298	0.384	99	14	26	6	3	""	""	4	1	9	""	4	27	7	""	""	""	2	""	""	25	21
2016	12381	2	929	Adams St.	5	1539428	Kautz, Kelsi	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12381&stats_player_seq=1539428	Jr	1B	39	34	39	34	0.270	0.282	0.370	100	9	27	5	1	1	""	2	""	14	1	5	9	2	""	""	""	1	""	""	40	28
