year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	team_won	score	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2017	12580	4	Adrian	02/26/2017	Brandeis @ Clermont, Fla.		Brandeis	http://stats.ncaa.org/team/73/12580	true	Clermont, Fla.	true	L 4 - 5	false	4 - 5	4	5	false		4333552	http://stats.ncaa.org/game/index/4333552?org_id=73
2017	12580	4	Adrian	02/26/2017	Middle Ga. St. @ Clermont, Fla.		Middle Ga. St.		true	Clermont, Fla.	true	L 3 - 4	false	3 - 4	3	4	false		4332945	http://stats.ncaa.org/game/index/4332945?org_id=4
2017	12580	4	Adrian	02/27/2017	@ Augustana (IL)		Augustana (IL)	http://stats.ncaa.org/team/40/12580	false		false	L 5 - 6 (8)	false	5 - 6	5	6	true	8	4302904	http://stats.ncaa.org/game/index/4302904?org_id=4
2017	12580	4	Adrian	02/27/2017	Waynesburg @ Clermont, Fla.		Waynesburg	http://stats.ncaa.org/team/1434/12580	true	Clermont, Fla.	true	W 4 - 3 (8)	true	4 - 3	4	3	true	8	4333633	http://stats.ncaa.org/game/index/4333633?org_id=4
2017	12580	4	Adrian	02/28/2017	York (PA) @ Clermont, Fla.		York (PA)	http://stats.ncaa.org/team/815/12580	true	Clermont, Fla.	true	L 0 - 9	false	0 - 9	0	9	false		4333556	http://stats.ncaa.org/game/index/4333556?org_id=4
2017	12580	4	Adrian	03/02/2017	Rose-Hulman @ Clermont, Fla.		Rose-Hulman	http://stats.ncaa.org/team/585/12580	true	Clermont, Fla.	true	L 3 - 4	false	3 - 4	3	4	false		4304157	http://stats.ncaa.org/game/index/4304157?org_id=585
2017	12580	4	Adrian	03/03/2017	Cabrini @ Clermont, FL		Cabrini	http://stats.ncaa.org/team/88/12580	true	Clermont, FL	true	W 7 - 2	true	7 - 2	7	2	false		4332947	http://stats.ncaa.org/game/index/4332947?org_id=4
2017	12580	4	Adrian	03/03/2017	Johnson & Wales (RI) @ Clermont, Fla.		Johnson & Wales (RI)	http://stats.ncaa.org/team/22626/12580	true	Clermont, Fla.	true	L 5 - 13	false	5 - 13	5	13	false		4305734	http://stats.ncaa.org/game/index/4305734?org_id=22626
2017	12580	4	Adrian	03/09/2017	@ Centre		Centre	http://stats.ncaa.org/team/132/12580	false		false	L 0 - 8	false	0 - 8	0	8	false		4313106	http://stats.ncaa.org/game/index/4313106?org_id=132
2017	12580	4	Adrian	03/09/2017	@ Centre		Centre	http://stats.ncaa.org/team/132/12580	false		false	L 4 - 5	false	4 - 5	4	5	false		4313226	http://stats.ncaa.org/game/index/4313226?org_id=132
2017	12580	4	Adrian	03/21/2017	@ Siena Heights		Siena Heights		false		false	L 4 - 7	false	4 - 7	4	7	false		4326543	http://stats.ncaa.org/game/index/4326543?org_id=4
2017	12580	4	Adrian	03/21/2017	@ Siena Heights		Siena Heights		false		false	L 1 - 9	false	1 - 9	1	9	false		4326516	http://stats.ncaa.org/game/index/4326516?org_id=4
2017	12580	4	Adrian	03/24/2017	@ Bluffton		Bluffton	http://stats.ncaa.org/team/987/12580	false		false	L 0 - 3	false	0 - 3	0	3	false		4328844	http://stats.ncaa.org/game/index/4328844?org_id=987
2017	12580	4	Adrian	03/24/2017	@ Bluffton		Bluffton	http://stats.ncaa.org/team/987/12580	false		false	L 12 - 15	false	12 - 15	12	15	false		4328859	http://stats.ncaa.org/game/index/4328859?org_id=987
2017	12580	4	Adrian	04/01/2017	Hope		Hope	http://stats.ncaa.org/team/286/12580	false		true	L 1 - 5	false	1 - 5	1	5	false		4337276	http://stats.ncaa.org/game/index/4337276?org_id=286
2017	12580	4	Adrian	04/01/2017	@ Hope		Hope	http://stats.ncaa.org/team/286/12580	false		false	L 1 - 5	false	1 - 5	1	5	false		4336059	http://stats.ncaa.org/game/index/4336059?org_id=286
2017	12580	4	Adrian	04/02/2017	@ Heidelberg		Heidelberg	http://stats.ncaa.org/team/278/12580	false		false	W 7 - 6	true	7 - 6	7	6	false		4337929	http://stats.ncaa.org/game/index/4337929?org_id=278
2017	12580	4	Adrian	04/02/2017	@ Heidelberg		Heidelberg	http://stats.ncaa.org/team/278/12580	false		false	L 0 - 5	false	0 - 5	0	5	false		4338978	http://stats.ncaa.org/game/index/4338978?org_id=278
2017	12580	4	Adrian	04/04/2017	Calvin		Calvin	http://stats.ncaa.org/team/114/12580	false		true	W 3 - 1	true	3 - 1	3	1	false		4342106	http://stats.ncaa.org/game/index/4342106?org_id=4
2017	12580	4	Adrian	04/04/2017	@ Calvin		Calvin	http://stats.ncaa.org/team/114/12580	false		false	W 5 - 0	true	5 - 0	5	0	false		4342120	http://stats.ncaa.org/game/index/4342120?org_id=4
2017	12580	4	Adrian	04/10/2017	Baldwin Wallace		Baldwin Wallace	http://stats.ncaa.org/team/46/12580	false		true	W 9 - 3	true	9 - 3	9	3	false		4347157	http://stats.ncaa.org/game/index/4347157?org_id=4
2017	12580	4	Adrian	04/10/2017	Baldwin Wallace		Baldwin Wallace	http://stats.ncaa.org/team/46/12580	false		true	W 5 - 0	true	5 - 0	5	0	false		4347174	http://stats.ncaa.org/game/index/4347174?org_id=4
2017	12580	4	Adrian	04/12/2017	@ St. Mary's (IN)		St. Mary's (IN)	http://stats.ncaa.org/team/8688/12580	false		false	L 1 - 4	false	1 - 4	1	4	false		4348866	http://stats.ncaa.org/game/index/4348866?org_id=4
2017	12580	4	Adrian	04/12/2017	St. Mary's (IN)		St. Mary's (IN)	http://stats.ncaa.org/team/8688/12580	false		true	L 0 - 12	false	0 - 12	0	12	false		4348903	http://stats.ncaa.org/game/index/4348903?org_id=4
2017	12580	4	Adrian	04/14/2017	@ Cleary		Cleary		false		false	L 2 - 3 (8)	false	2 - 3	2	3	true	8	4360773	http://stats.ncaa.org/game/index/4360773?org_id=4
2017	12580	4	Adrian	04/14/2017	@ Cleary		Cleary		false		false	W 7 - 6	true	7 - 6	7	6	false		4355394	http://stats.ncaa.org/game/index/4355394?org_id=4
2017	12580	4	Adrian	04/15/2017	@ Kalamazoo		Kalamazoo	http://stats.ncaa.org/team/326/12580	false		false	W 7 - 5	true	7 - 5	7	5	false		4352110	http://stats.ncaa.org/game/index/4352110?org_id=326
2017	12580	4	Adrian	04/15/2017	Kalamazoo		Kalamazoo	http://stats.ncaa.org/team/326/12580	false		true	L 1 - 5	false	1 - 5	1	5	false		4353525	http://stats.ncaa.org/game/index/4353525?org_id=326
2017	12580	4	Adrian	04/17/2017	Defiance		Defiance	http://stats.ncaa.org/team/1050/12580	false		true	W 2 - 1	true	2 - 1	2	1	false		4360771	http://stats.ncaa.org/game/index/4360771?org_id=4
2017	12580	4	Adrian	04/17/2017	Defiance		Defiance	http://stats.ncaa.org/team/1050/12580	false		true	L 4 - 9	false	4 - 9	4	9	false		4360772	http://stats.ncaa.org/game/index/4360772?org_id=4
2017	12580	4	Adrian	04/21/2017	Albion		Albion	http://stats.ncaa.org/team/15/12580	false		true	W 5 - 1	true	5 - 1	5	1	false		4357110	http://stats.ncaa.org/game/index/4357110?org_id=4
2017	12580	4	Adrian	04/21/2017	@ Albion		Albion	http://stats.ncaa.org/team/15/12580	false		false	W 12 - 0	true	12 - 0	12	0	false		4360279	http://stats.ncaa.org/game/index/4360279?org_id=4
2017	12580	4	Adrian	04/22/2017	@ Olivet		Olivet	http://stats.ncaa.org/team/525/12580	false		false	L 3 - 4	false	3 - 4	3	4	false		4360287	http://stats.ncaa.org/game/index/4360287?org_id=4
