sport_code	year	division
WSB	2016	1
WSB	2016	2
WSB	2016	3
WSB	2015	1
WSB	2015	2
WSB	2015	3
WSB	2014	1
WSB	2014	2
WSB	2014	3
WSB	2013	1
WSB	2013	2
WSB	2013	3
WSB	2012	1
