year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	app	gs2	era	ip	h	r	er	bb	so	sho	bf	p_oab	d_allowed	t_allowed	hr_allowed	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2016	12381	30123	Academy of Art	-	Totals	-	-	-	-	""	""	5.40	330.1	451	341	255	204	162	3	1711	1415	59	10	35	""	56	5	36	47	16	""	""	""	42	12	2	365	417	""	""	""
2016	12381	30123	Academy of Art	-	Opponent Totals	-	-	-	-	""	""	3.55	337.0	357	212	171	110	161	8	1508	1325	54	5	27	""	33	""	29	35	""	""	""	""	39	4	1	449	338	""	""	""
2016	12381	929	Adams St.	-	Totals	-	-	-	-	""	""	4.92	328.1	436	316	231	176	200	1	1666	1430	82	18	27	""	24	12	26	56	""	""	""	""	24	8	2	451	301	""	""	""
2016	12381	929	Adams St.	-	Opponent Totals	-	-	-	-	""	""	3.42	336.0	379	208	164	76	236	4	1495	1345	60	23	31	""	16	""	22	53	1	""	""	""	43	9	""	382	347	""	""	""
2016	12381	3	Adelphi	-	Totals	-	-	-	-	""	""	2.88	360.1	355	198	148	164	229	11	1671	1431	51	6	24	""	17	""	37	67	12	""	""	""	29	9	1	451	375	""	""	""
2016	12381	3	Adelphi	-	Opponent Totals	-	-	-	-	""	""	4.29	359.1	425	269	220	185	224	4	1717	1462	66	22	35	""	19	""	30	87	6	""	""	""	21	18	1	421	383	""	""	""
2016	12381	10	Ala.-Huntsville	-	Totals	-	-	-	-	""	""	2.98	359.2	387	195	153	80	256	14	1589	1443	62	1	33	""	21	""	12	41	""	""	""	""	43	9	2	413	376	""	""	""
2016	12381	10	Ala.-Huntsville	-	Opponent Totals	-	-	-	-	""	""	6.30	345.2	485	384	311	237	154	8	1806	1485	97	2	45	""	28	""	34	50	3	""	""	""	33	17	""	421	414	""	""	""
2016	12381	13	Albany St. (GA)	-	Totals	-	-	-	-	""	""	4.42	319.2	407	312	202	148	112	2	1569	1346	76	12	31	""	54	4	27	20	""	""	""	""	31	17	""	442	343	""	""	""
2016	12381	13	Albany St. (GA)	-	Opponent Totals	-	-	-	-	""	""	3.10	332.0	355	239	147	102	274	7	1497	1317	60	11	35	""	31	1	16	52	""	""	""	""	43	19	""	322	356	""	""	""
2016	12381	934	Alderson Broaddus	-	Totals	-	-	-	-	""	""	5.24	296.2	405	268	222	84	103	4	1434	1255	87	15	21	""	35	""	46	24	""	""	""	""	39	10	""	402	346	""	""	""
2016	12381	934	Alderson Broaddus	-	Opponent Totals	-	-	-	-	""	""	2.29	308.1	288	138	101	76	204	8	1339	1196	37	10	12	""	14	""	17	51	""	""	""	""	47	3	""	402	287	""	""	""
2016	12381	22	American Int'l	-	Totals	-	-	-	-	""	""	3.12	251.2	276	162	112	81	188	3	1147	1021	41	8	17	""	7	1	14	75	""	""	""	""	23	7	1	336	207	""	""	""
2016	12381	22	American Int'l	-	Opponent Totals	-	-	-	-	""	""	2.46	255.2	252	133	90	80	179	4	1129	1009	31	3	13	""	16	""	16	47	1	""	""	""	22	2	""	299	255	""	""	""
2016	12381	13028	Anderson (SC)	-	Totals	-	-	-	-	""	""	2.31	336.0	282	149	111	127	326	3	1447	1249	46	5	30	""	12	1	23	88	""	""	""	""	42	6	""	297	343	""	""	""
2016	12381	13028	Anderson (SC)	-	Opponent Totals	-	-	-	-	""	""	3.81	325.0	340	210	177	194	270	9	1529	1283	47	6	40	""	25	1	21	85	6	""	""	""	22	9	""	348	321	""	""	""
2016	12381	25	Angelo St.	-	Totals	-	-	-	-	""	""	3.02	406.0	405	233	175	192	331	7	1848	1591	65	11	38	""	41	1	28	64	14	""	""	""	28	9	""	396	455	""	""	""
2016	12381	25	Angelo St.	-	Opponent Totals	-	-	-	-	""	""	5.13	399.2	515	355	293	249	203	1	2007	1636	84	12	22	""	37	16	61	49	4	""	""	""	46	14	1	511	399	""	""	""
2016	12381	8411	Ark.-Monticello	-	Totals	-	-	-	-	""	""	3.73	390.1	418	255	208	140	263	5	1772	1538	62	3	51	""	25	2	42	70	3	""	""	""	39	13	""	394	462	""	""	""
2016	12381	8411	Ark.-Monticello	-	Opponent Totals	-	-	-	-	""	""	3.43	386.0	410	230	189	156	255	1	1761	1547	52	1	60	""	24	""	32	68	1	""	""	""	20	6	""	399	463	""	""	""
2016	12381	947	Arkansas Tech	-	Totals	-	-	-	-	""	""	1.51	416.2	282	121	90	181	439	19	1742	1498	30	1	13	""	23	1	22	97	2	""	""	""	37	4	""	427	346	""	""	""
2016	12381	947	Arkansas Tech	-	Opponent Totals	-	-	-	-	""	""	4.50	398.0	510	314	256	147	274	5	1904	1663	72	13	43	""	34	1	38	72	5	""	""	""	41	15	""	440	429	""	""	""
2016	12381	33	Armstrong St.	-	Totals	-	-	-	-	""	""	1.87	389.2	322	137	104	124	236	15	1636	1440	46	4	17	""	27	3	30	59	7	""	""	""	36	5	""	605	275	""	""	""
2016	12381	33	Armstrong St.	-	Opponent Totals	-	-	-	-	""	""	4.65	379.2	476	303	252	159	233	2	1828	1587	73	6	57	""	27	2	38	58	8	""	""	""	32	12	""	424	450	""	""	""
2016	12381	35	Ashland	-	Totals	-	-	-	-	""	""	3.34	361.0	424	215	172	117	232	6	1656	1472	84	16	12	""	18	1	20	56	1	""	""	""	41	6	""	506	301	""	""	""
2016	12381	35	Ashland	-	Opponent Totals	-	-	-	-	""	""	3.40	360.0	440	266	175	124	181	3	1683	1478	64	20	18	""	30	""	5	54	2	""	""	""	59	17	""	502	350	""	""	""
2016	12381	36	Assumption	-	Totals	-	-	-	-	""	""	3.65	258.2	365	176	135	54	137	4	1229	1111	56	9	29	""	7	1	14	35	""	""	""	""	43	7	""	309	307	""	""	""
2016	12381	36	Assumption	-	Opponent Totals	-	-	-	-	""	""	4.13	263.0	319	190	155	115	173	5	1238	1067	67	7	24	""	18	""	14	65	""	""	""	""	34	8	""	295	283	""	""	""
2016	12381	39	Augusta	-	Totals	-	-	-	-	""	""	3.51	341.0	313	191	171	165	299	10	1548	1292	52	5	28	""	44	1	39	69	""	""	""	""	45	6	1	339	351	""	""	""
2016	12381	39	Augusta	-	Opponent Totals	-	-	-	-	""	""	2.29	351.2	296	146	115	120	266	13	1513	1301	53	2	19	""	25	3	24	72	1	""	""	""	62	5	1	402	353	""	""	""
2016	12381	41	Augustana (SD)	-	Totals	-	-	-	-	""	""	2.55	352.0	379	186	128	101	234	10	1585	1428	47	1	24	""	29	1	27	67	""	""	""	""	25	3	1	552	220	""	""	""
2016	12381	41	Augustana (SD)	-	Opponent Totals	-	-	-	-	""	""	5.49	344.1	523	328	270	131	191	3	1749	1544	80	1	60	""	25	""	41	63	""	""	""	""	29	4	""	436	354	""	""	""
2016	12381	30146	Azusa Pacific	-	Totals	-	-	-	-	""	""	2.08	349.2	314	146	104	150	240	14	1543	1342	40	2	18	""	20	1	24	77	""	""	""	""	23	4	""	414	347	""	""	""
2016	12381	30146	Azusa Pacific	-	Opponent Totals	-	-	-	-	""	""	4.77	334.1	488	310	228	132	138	1	1663	1455	71	10	36	""	28	""	21	36	6	""	""	""	39	16	""	444	374	""	""	""
2016	12381	2685	BYU-Hawaii	-	Totals	-	-	-	-	""	""	5.72	268.0	390	278	219	161	65	1	1387	1145	72	7	32	""	38	6	32	24	""	""	""	""	34	14	1	323	363	""	""	""
2016	12381	2685	BYU-Hawaii	-	Opponent Totals	-	-	-	-	""	""	2.35	276.2	282	117	93	89	115	9	1239	1065	40	2	6	""	21	3	24	43	2	""	""	""	56	5	""	339	351	""	""	""
2016	12381	49	Barry	-	Totals	-	-	-	-	""	""	3.13	286.2	289	177	128	174	139	3	1336	1097	42	2	28	""	27	4	18	45	""	""	""	""	41	6	""	305	367	""	""	""
