year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	position	gp	gs	g	app	gs2	era	ip	h	r	er	bb	so	sho	bf	p_oab	d_allowed	t_allowed	hr_allowed	wp	bk	hb	ibb	inh_run	inh_run_score	sha	sfa	pitches	go	fo	w	l	sv	kl
2016	12381	4	Adrian	-	Totals	-	-	-	-	""	""	4.11	211.0	269	154	124	88	100	4	1011	869	44	4	23	""	12	""	13	26	""	""	""	""	33	8	""	307	199	""	""	""
2016	12381	4	Adrian	-	Opponent Totals	-	-	-	-	""	""	3.67	217.2	246	146	114	71	133	4	1000	875	41	3	15	""	19	2	24	38	""	""	""	""	29	1	""	282	209	""	""	""
2016	12381	11324	Agnes Scott	-	Totals	-	-	-	-	""	1	6.85	228.0	358	267	223	135	114	2	1222	1017	81	14	16	""	40	2	30	17	""	""	""	""	27	13	""	259	265	""	""	""
2016	12381	11324	Agnes Scott	-	Opponent Totals	-	-	-	-	""	1	2.70	238.1	252	125	92	62	155	7	1052	941	44	4	11	""	18	""	16	51	""	""	""	""	25	8	""	267	258	""	""	""
2016	12381	2798	Albertus Magnus	-	Totals	-	-	-	-	""	""	3.18	257.2	301	154	117	70	75	7	1169	1056	52	9	11	""	22	3	19	26	""	""	""	""	19	5	""	375	285	""	""	""
2016	12381	2798	Albertus Magnus	-	Opponent Totals	-	-	-	-	""	""	3.16	255.0	305	175	115	98	143	""	1217	1054	44	6	5	""	45	1	17	43	""	""	""	""	37	11	""	315	285	""	""	""
2016	12381	15	Albion	-	Totals	-	-	-	-	""	""	6.34	212.0	350	264	192	82	104	2	1124	982	83	7	19	""	28	2	26	31	""	""	""	""	22	12	""	210	303	""	""	""
2016	12381	15	Albion	-	Opponent Totals	-	-	-	-	""	""	1.66	223.0	166	73	53	66	172	12	929	809	21	2	2	""	11	""	17	44	""	""	""	""	34	3	""	289	178	""	""	""
2016	12381	16	Albright	-	Totals	-	-	-	-	""	""	2.20	267.2	243	116	84	76	271	10	1148	1029	43	14	13	""	8	""	13	97	""	""	""	""	21	9	""	208	303	""	""	""
2016	12381	16	Albright	-	Opponent Totals	-	-	-	-	""	""	2.79	256.1	287	148	102	72	119	5	1181	1048	48	10	1	""	11	1	26	35	1	""	""	""	28	7	""	355	278	""	""	""
2016	12381	18	Alfred	-	Totals	-	-	-	-	""	""	2.70	270.0	263	129	104	84	189	9	1196	1058	39	9	8	""	24	3	16	36	""	""	""	""	29	9	""	329	274	""	""	""
2016	12381	18	Alfred	-	Opponent Totals	-	-	-	-	""	""	4.79	263.0	366	249	180	98	147	3	1314	1143	57	8	14	""	30	""	27	28	""	""	""	""	34	11	1	316	306	""	""	""
2016	12381	19	Allegheny	-	Totals	-	-	-	-	""	""	5.25	186.2	257	184	140	63	144	2	938	827	46	7	10	""	16	""	28	45	""	""	""	""	15	5	""	260	143	""	""	""
2016	12381	19	Allegheny	-	Opponent Totals	-	-	-	-	""	""	3.20	192.1	203	106	88	65	116	6	861	750	37	5	7	""	16	1	21	43	1	""	""	""	23	2	""	237	197	""	""	""
2016	12381	21	Alma	-	Totals	-	-	-	-	""	""	1.41	302.0	221	85	61	67	261	13	1237	1110	26	1	7	""	16	1	20	61	4	""	""	""	35	4	""	348	278	""	""	""
2016	12381	21	Alma	-	Opponent Totals	-	-	-	-	""	""	3.81	290.2	363	205	158	73	147	2	1351	1206	65	5	18	""	18	""	16	34	2	""	""	""	50	6	""	377	311	""	""	""
